year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Professional Ethics'?,Following the laws of the country only,Principles and standards that guide behavior in the workplace,Being very polite to everyone,Wearing a suit every day,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Confidentiality'?,Telling everyone company secrets,Protecting sensitive company and client information,Hiding your own mistakes,Not telling your name to coworkers,B
1st Year,"Industry Standards, Ethics & Workplace Communication",Which of these is an example of an 'Ethical Dilemma'?,Choosing which color to paint the office,Being asked to misrepresent data to a client,Deciding what to eat for lunch,Choosing between two different software tools,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Intellectual Property' (IP)?,The building owned by a company,"Creations of the mind, such as inventions, designs, and code",The physical laptops in the office,The company's bank account,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Whistleblowing'?,Blowing a literal whistle in the office,Reporting illegal or unethical behavior within an organization,Telling a joke,Announcing a new product,B
1st Year,"Industry Standards, Ethics & Workplace Communication","In workplace communication, what is the 'Reply All' rule?",Always use it for every email,Use it only when everyone on the thread needs the information,Never use it under any circumstances,Use it only for personal messages,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Netiquette'?,The speed of the internet,Etiquette specifically for online and digital communication,A type of networking cable,Using the internet for free,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What should you include in a professional email signature?,A long poem,"Your name, title, and contact information",A blinking GIF,A list of your favorite movies,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Active Listening' in a meeting?,Checking your phone while someone talks,Fully concentrating and showing you understand the speaker,Thinking about what to say next while they talk,Interrupting with better ideas,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Workplace Diversity'?,Having people from many different backgrounds and perspectives,Having different types of furniture,Working in different cities,Selling many different products,A
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Constructive Criticism'?,Saying something is bad without a reason,Feedback that offers specific suggestions for improvement,Only giving compliments,Ignoring mistakes completely,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Sexual Harassment' in the workplace?,Any unwelcome behavior of a sexual nature that creates a hostile environment,A type of romance,A compliment from a manager,A joke between friends,A
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Punctuality'?,Being exactly on time or early for work and meetings,Being fashionably late,Changing the time on your watch,Finishing work very fast,A
1st Year,"Industry Standards, Ethics & Workplace Communication",What is a 'Code of Conduct'?,A book of programming tips,A set of rules outlining the responsibilities or proper practices for an organization,A type of secret code,A manual for a computer,B
1st Year,"Industry Standards, Ethics & Workplace Communication",Why is 'Transparency' important in communication?,To make it harder to read,To build trust and ensure everyone has the necessary information,To show off your knowledge,To hide errors,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Conflict of Interest'?,When you and your boss like the same sports team,When personal interests interfere with professional duties,When you have two meetings at once,When you are bored at work,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Non-Verbal Communication'?,Sending a text message,"Body language, eye contact, and tone of voice",Writing a report,Using a megaphone,B
1st Year,"Industry Standards, Ethics & Workplace Communication",How should you handle an angry customer?,Shout back at them,"Stay calm, listen, and try to find a solution",Ignore them,Hang up the phone,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Empathy' in the workplace?,Feeling sorry for someone's mistakes,The ability to understand and share the feelings of another,Agreeing with everyone's complaints,Being quiet and not sharing your own views,B
1st Year,"Industry Standards, Ethics & Workplace Communication",What is 'Accountability'?,Being a accountant,Taking responsibility for your own actions and tasks,Asking someone else to take the blame,Doing only what you are told,B
