year,module,question,option_a,option_b,option_c,option_d,correct_answer
4th Year,Alternative Paths & Contingency Planning,What is a 'Contingency Plan'?,A plan for winning the lottery,A plan designed to take account of a possible future event or circumstance,A primary career path,A list of hobbies,B
4th Year,Alternative Paths & Contingency Planning,What is 'Alternative Career Path'?,Following the same job forever,"A professional direction different from the one traditionally expected (e.g., engineering to creative writing)",Being unemployed,Working for a local company,B
4th Year,Alternative Paths & Contingency Planning,What is 'Gap Year'?,A year of studying,A period typically taken by students between school and university or work for personal growth,Failing a year,A year spent in the library,B
4th Year,Alternative Paths & Contingency Planning,What is 'Freelancing'?,Working for free,Self-employed professionals working on various projects for different clients,A full-time job,Working for the government,B
4th Year,Alternative Paths & Contingency Planning,What is 'Career Resilience'?,Never changing jobs,The ability to adapt to changes and bounce back from setbacks in your career,Being stubborn,Only working in one industry,B
4th Year,Alternative Paths & Contingency Planning,What is a 'Sabbatical'?,A short weekend,"A period of paid or unpaid leave for study, rest, or travel",Quitting your job,A promotion,B
4th Year,Alternative Paths & Contingency Planning,What is 'Pivoting'?,Spinning around,Making a fundamental change in career or business direction,Winning an award,Being promoted,B
4th Year,Alternative Paths & Contingency Planning,What is 'Gig Economy'?,An economy based on musicians,A labor market characterized by short-term contracts or freelance work,A permanent government job,A traditional retail economy,B
4th Year,Alternative Paths & Contingency Planning,What is 'Risk Assessment' in career planning?,Taking no risks,Identifying and analyzing potential career risks and challenges,Choosing the easiest path,Investing all your money,B
4th Year,Alternative Paths & Contingency Planning,What is 'Transferable Skills'?,Skills you can't use anywhere else,"Skills developed in one situation which can be applied to another (e.g., leadership)",Skills you forget after university,A type of computer code,B
4th Year,Alternative Paths & Contingency Planning,What is 'Entrepreneurship'?,Working for a big company,"The activity of setting up a business or businesses, taking on financial risks in the hope of profit",Being a manager only,A type of hobby,B
4th Year,Alternative Paths & Contingency Planning,What is 'Upskilling'?,Learning a new hobby,The process of learning new skills for your current field,Teaching others,Asking for a raise,B
4th Year,Alternative Paths & Contingency Planning,What is 'Networking'?,Connecting computers,Developing professional contacts for guidance and opportunities,Being friends with everyone,A type of cable,B
4th Year,Alternative Paths & Contingency Planning,Why is it important to have a 'Plan B'?,To show you have no confidence,To be prepared if your primary career goals aren't met or circumstances change,To avoid hard work,To confuse others,B
4th Year,Alternative Paths & Contingency Planning,What is 'Remote Work'?,Working from a far-off office,Working from home or another location outside of a traditional office,Working as a pilot,Working on a farm,B
4th Year,Alternative Paths & Contingency Planning,What is 'Continuing Education'?,Staying in university forever,Ongoing education for adult professionals,Reading one book a year,Watching the news,B
4th Year,Alternative Paths & Contingency Planning,What is 'Portfolio Career'?,Working one job for 40 years,A career where you have multiple sources of income from different types of work,Collecting folders,A career in finance only,B
4th Year,Alternative Paths & Contingency Planning,What is 'Digital Nomadism'?,Someone who hates computers,A type of lifestyle where people work remotely while traveling,Working for the government,Living in a forest,B
4th Year,Alternative Paths & Contingency Planning,What is 'Career Coaching'?,Coaching a sports team,Professional advice to help individuals navigate their career and make decisions,Learning a new sport,A type of school teacher,B
4th Year,Alternative Paths & Contingency Planning,What is 'Financial Planning' in career context?,Spending all your salary,Managing your income and savings to support your career transitions and life goals,Counting your coins,Winning a prize,B
