year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,College to Career Transition,What is the biggest difference between college and a career?,College has more homework,Careers focus on professional responsibility and results,Careers have no summer breaks,College is more expensive,B
1st Year,College to Career Transition,What does 'Professionalism' mean in the workplace?,Being very old,"Consistent high standards of work, ethics, and behavior",Wearing a suit to the gym,Knowing the CEO's name,B
1st Year,College to Career Transition,How should you handle 'Downtime' at a new job?,Play games on your phone,Ask your manager if there's anything you can help with or learn,Go home early,Sleep at your desk,B
1st Year,College to Career Transition,What is 'Onboarding'?,Getting on a ship,The process of integrating a new employee into an organization,A type of skateboard,Leaving a company,B
1st Year,College to Career Transition,Why is 'Networking' important early in your career?,To get free lunches,To build relationships that provide guidance and opportunities,To have more friends on social media,To avoid doing work,B
1st Year,College to Career Transition,What is a 'Mentor'?,Someone who does your work,An experienced professional who provides guidance and support,The person who pays your salary,A competitor,B
1st Year,College to Career Transition,"In a career, 'Success' is often measured by:",Passing a written exam,"Impact, growth, and meeting professional objectives",The number of hours you stay in the library,Your college GPA only,B
1st Year,College to Career Transition,What is 'Workplace Etiquette'?,The code for the office door,The unwritten rules of professional behavior and courtesy,The menu in the cafeteria,How to use the office printer,B
1st Year,College to Career Transition,Why is 'Time Management' critical in a career?,To show you have a watch,To balance multiple tasks and meet deadlines independently,To take more breaks,To leave work exactly at 5 PM,B
1st Year,College to Career Transition,What is a 'Probation Period'?,A punishment for mistakes,A trial period to assess a new employee's performance,A long vacation,Training for a promotion,B
1st Year,College to Career Transition,How should you respond to 'Constructive Criticism' from a boss?,Get defensive and angry,"Listen, take notes, and apply the feedback to improve",Ignore it completely,Quit immediately,B
1st Year,College to Career Transition,What is 'Corporate Culture'?,The company's logo,"The shared values, goals, and practices that characterize an organization",The office building's design,The company's annual revenue,B
1st Year,College to Career Transition,An 'Individual Contributor' is someone who:,Doesn't work with others,A professional who is not a manager but performs specific tasks,A person who pays for the office coffee,A freelance worker only,B
1st Year,College to Career Transition,What is a 'Growth Mindset'?,Believing you are already perfect,The belief that abilities can be developed through effort and learning,Wanting to grow taller,Investing in large companies,B
1st Year,College to Career Transition,Why should you research a company before starting?,To find the nearest mall,"To understand their business, values, and terminology",To see their stock price,To find out what the CEO eats,B
1st Year,College to Career Transition,What is 'Self-Reliance' in a career?,Asking for help with every single click,Taking responsibility for your own work and problem-solving,Working entirely alone in a dark room,Hiring someone else to do your job,B
1st Year,College to Career Transition,What is the purpose of an 'Exit Interview'?,To get your final paycheck,For the company to learn why you are leaving and how to improve,To beg for your job back,To complain about your coworkers,B
1st Year,College to Career Transition,What is 'Career Pathing'?,The road you take to the office,The process of planning your professional progression and goals,Buying a new car,Asking for a raise,B
1st Year,College to Career Transition,What is 'Lifelong Learning'?,Staying in college forever,"The ongoing, self-motivated pursuit of knowledge for personal or professional reasons",Reading a book once a year,Watching the news,B
1st Year,College to Career Transition,What does it mean to be 'Proactive' at work?,Waiting for your boss to tell you everything,Anticipating needs and taking action before being asked,Working very slowly,Complaining about the workload,B
