year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is the 'Hidden Job Market'?,Jobs listed on government websites only,Jobs that are filled through networking and referrals rather than public postings,Illegal jobs,Jobs in the basement,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is 'Reverse Engineering' a job description?,Writing the code backwards,Analyzing the skills and keywords in the ad to tailor your resume and cover letter,Deleting the job description,Creating a new job,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is 'Boolean Search' used for in job hunting?,Performing complex math,"Using operators like AND, OR, and NOT to refine search results for jobs or candidates",Coding in Python,Searching for books,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,How can 'Informational Interviews' help in a job search?,They are actual job interviews,They provide industry insights and help build a network within a target company,They are for getting free coffee,They are for criticizing companies,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is an 'Applicant Tracking System' (ATS)?,A system to follow applicants home,Software used by employers to filter and rank resumes based on keywords,A GPS for job seekers,A payroll system,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,Why is 'Personal Branding' important for placement mastery?,To look like a celebrity,To differentiate yourself and showcase your expertise to recruiters,To hide your real identity,To get free samples,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,A 'Target Company List' should include:,Every company in the world,"Companies that align with your skills, values, and career goals",Only companies that are hiring right now,Only companies your friends work for,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is 'Cold Networking'?,Networking in the winter,Reaching out to professionals you don't know to build a connection,Ignoring people at events,Emailing someone you know well,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,Which platform is best for 'Social Recruiting'?,Instagram,LinkedIn,YouTube,Netflix,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is a 'Portfolio' in a technical job search?,A collection of your family photos,"A curated collection of your projects, code samples, and achievements",A list of your grades,A briefcase,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is 'Job Hopping'?,Traveling for work,Frequently changing jobs in a short period,Working two jobs at once,Jumping during an interview,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,A 'Functional Resume' focuses on:,Your chronological work history,Your specific skills and competencies,Your hobbies,Your education only,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is 'Placement Mastery'?,Getting any job,The strategic approach to consistently securing high-quality job offers,Being the head of a placement cell,Passing a coding test once,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,How should you use 'Keywords' in your LinkedIn profile?,Hide them in white text,"Include them naturally in your headline, summary, and skills sections",Don't use them,Use only one keyword 100 times,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is the 'STAR' method used for in interviews?,"Situation, Task, Action, Result","Skills, Talents, Achievements, Review","Search, Track, Apply, Repeat","Simple, Tough, Accurate, Real",A
3rd Year,Advanced Job Search Strategy & Placement Mastery,Why is 'Follow-up' after an interview important?,To annoy the recruiter,To express gratitude and reiterate your interest in the role,To ask for the salary again,To send a gift,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is 'Employee Referral'?,When an employee leaves,When a current employee recommends a candidate for a role,When an employee is fired,When an employee gets a promotion,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is a 'Value Proposition'?,The price of the job,The unique benefit you offer to an employer,A request for a raise,A company's mission statement,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,Which is a 'Hard Skill'?,Leadership,Python Programming,Adaptability,Teamwork,B
3rd Year,Advanced Job Search Strategy & Placement Mastery,What is 'Career Resilience'?,Never changing jobs,The ability to adapt to changes and bounce back from setbacks in your career,Being stubborn with your career choices,Only working in one industry,B
