year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,"Time Management, Company Opportunities & Certifications",What is the 'Eisenhower Matrix' used for?,To build a computer,To prioritize tasks based on urgency and importance,To calculate interest rates,To design a company logo,B
2nd Year,"Time Management, Company Opportunities & Certifications",What is the 'Pomodoro Technique'?,A cooking method,A time management method using 25-minute focus intervals,A certification for Italian language,A networking strategy,B
2nd Year,"Time Management, Company Opportunities & Certifications",Which of these is considered a 'Time Thief'?,A calendar,Constant social media notifications,A structured to-do list,A study group,B
2nd Year,"Time Management, Company Opportunities & Certifications",What is 'Procrastination'?,The act of finishing work early,The act of delaying or postponing tasks,A professional certification,A type of internship,B
2nd Year,"Time Management, Company Opportunities & Certifications",Why should you research 'Fortune 500' companies?,To buy their products,To identify major potential employers and industry leaders,To see their stock price only,To learn history,B
2nd Year,"Time Management, Company Opportunities & Certifications",What is a 'Job Shadowing' opportunity?,Watching a professional work for a short period to learn about their role,Working a full-time job for a year,Hiding in an office,A type of secret interview,A
2nd Year,"Time Management, Company Opportunities & Certifications",What is the value of a 'Professional Certification'?,It replaces a college degree entirely,It validates specific skills and can enhance employability,It is just for display,It guarantees a promotion,B
2nd Year,"Time Management, Company Opportunities & Certifications",Which platform is most popular for technical certifications like AWS or Google Cloud?,Coursera/EdX,TikTok,Pinterest,WhatsApp,A
2nd Year,"Time Management, Company Opportunities & Certifications",What does 'Pareto's Principle' (80/20 rule) suggest about productivity?,80% of results come from 20% of effort,80% of people are lazy,20% of work takes 80% of the day,Everything takes equal time,A
2nd Year,"Time Management, Company Opportunities & Certifications",What is a 'Startup'?,A company that has been around for 100 years,A young company founded to develop a unique product or service,A government agency,A school project,B
2nd Year,"Time Management, Company Opportunities & Certifications",Why is it important to check a company's 'Glassdoor' profile?,To see photos of the office,To read employee reviews about salary and culture,To apply for jobs directly only,To see the CEO's family,B
2nd Year,"Time Management, Company Opportunities & Certifications",What is 'Deep Work'?,Working at the bottom of the ocean,Focusing without distraction on a cognitively demanding task,Working for 24 hours straight,Doing simple tasks while watching TV,B
2nd Year,"Time Management, Company Opportunities & Certifications",How should you choose which certification to pursue?,Pick the cheapest one,Align it with your career goals and industry requirements,Pick the one with the coolest logo,Do what your friend is doing,B
2nd Year,"Time Management, Company Opportunities & Certifications",What is 'Multitasking' often considered in productivity terms?,A superior skill,An inefficient way to work that reduces focus and quality,The best way to save time,A type of software,B
2nd Year,"Time Management, Company Opportunities & Certifications",What is the purpose of a 'Daily Stand-up' in a company?,To exercise,To briefly share progress and obstacles within a team,To eat breakfast,To listen to a long lecture,B
2nd Year,"Time Management, Company Opportunities & Certifications",What is a 'LDP' (Leadership Development Program)?,A program to teach computer languages,A structured career track at a company for high-potential graduates,A type of medical test,A local delivery program,B
2nd Year,"Time Management, Company Opportunities & Certifications",How does a 'Google Calendar' help with time management?,It makes your computer faster,It helps visualize your schedule and set reminders,It gives you free gifts,It monitors your heart rate,B
2nd Year,"Time Management, Company Opportunities & Certifications",What is a 'Badged' certification on LinkedIn?,A physical medal you wear,A digital icon showing you completed a verified course,A negative mark on your profile,A type of advertisement,B
2nd Year,"Time Management, Company Opportunities & Certifications",What is 'Time Blocking'?,Avoiding all clocks,Scheduling specific blocks of time for specific tasks,Stopping time,Using an alarm clock,B
2nd Year,"Time Management, Company Opportunities & Certifications",When is the best time to apply for an internship?,After you graduate,Several months before the internship begins,The day before it starts,Whenever you feel like it,B
