year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,Aptitude & Reasoning for Placements,"If a shirt costs $20 after a 20% discount, what was the original price?",$24,$25,$30,$16,B
2nd Year,Aptitude & Reasoning for Placements,"Complete the series: 2, 6, 12, 20, 30, ?",36,40,42,45,C
2nd Year,Aptitude & Reasoning for Placements,"Find the odd one out: Apple, Orange, Potato, Banana.",Apple,Orange,Potato,Banana,C
2nd Year,Aptitude & Reasoning for Placements,"If A is the brother of B, and B is the sister of C, how is A related to C?",Brother,Sister,Cousin,Father,A
2nd Year,Aptitude & Reasoning for Placements,A train 100m long passes a pole in 10 seconds. What is its speed?,10 m/s,100 m/s,1 m/s,50 m/s,A
2nd Year,Aptitude & Reasoning for Placements,What is the average of first five prime numbers?,5,5.6,7,6.2,B
2nd Year,Aptitude & Reasoning for Placements,"In a code, 'CAT' is written as '3120'. How is 'DOG' written?",4157,4156,3145,5168,A
2nd Year,Aptitude & Reasoning for Placements,"If 5 workers can build a wall in 10 days, how many days will 10 workers take?",20,5,2,15,B
2nd Year,Aptitude & Reasoning for Placements,"A person walks 3km North, then 4km East. How far is he from the starting point?",7km,1km,5km,12km,C
2nd Year,Aptitude & Reasoning for Placements,"Which number comes next in: 1, 4, 9, 16, 25, ?",30,36,40,49,B
2nd Year,Aptitude & Reasoning for Placements,"If the day before yesterday was Thursday, what day will it be tomorrow?",Saturday,Sunday,Monday,Tuesday,B
2nd Year,Aptitude & Reasoning for Placements,What is the probability of getting a 'head' in a coin toss?,1,0,0.5,2,C
2nd Year,Aptitude & Reasoning for Placements,Find the simple interest on $1000 at 5% per year for 2 years.,$50,$100,$200,$10,B
2nd Year,Aptitude & Reasoning for Placements,"If 'Red' means 'Green' and 'Green' means 'Blue', what is the color of clear sky?",Red,Green,Blue,Yellow,B
2nd Year,Aptitude & Reasoning for Placements,A clock shows 3:00. What is the angle between the hands?,45 degrees,90 degrees,180 degrees,0 degrees,B
2nd Year,Aptitude & Reasoning for Placements,"A is twice as old as B. If the sum of their ages is 30, how old is A?",10,15,20,25,C
2nd Year,Aptitude & Reasoning for Placements,"Find the missing number: 100, 81, 64, 49, ?",36,25,40,45,A
2nd Year,Aptitude & Reasoning for Placements,What is the square root of 625?,15,25,35,45,B
2nd Year,Aptitude & Reasoning for Placements,"If 'All Men are Mortal' and 'Socrates is a Man', then:",Socrates is immortal,Socrates is mortal,Men are Socrates,None of the above,B
2nd Year,Aptitude & Reasoning for Placements,A profit of 10% on $500 is:,$5,$50,$10,$100,B
