year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,Salary Negotiation & Career Economics,When is the best time to negotiate your salary during the hiring process?,The first interview,After you have received a formal job offer,After starting the job,Before applying,B
3rd Year,Salary Negotiation & Career Economics,What is 'Market Value' in career economics?,The price of groceries,The average salary for a specific role and location based on industry data,The stock price of the company,The cost of living in a city,B
3rd Year,Salary Negotiation & Career Economics,What is 'CTC'?,Cost to Company,Central Tax Code,Company Training Center,Career Track Choice,A
3rd Year,Salary Negotiation & Career Economics,Which component is usually included in CTC but not in 'Take-home' salary?,Gross salary,Employee's PF contribution and gratuity,Bonus,Travel allowance,B
3rd Year,Salary Negotiation & Career Economics,What is 'Variable Pay'?,The salary that never changes,A portion of the salary dependent on individual or company performance,The cost of office supplies,Money spent on travel,B
3rd Year,Salary Negotiation & Career Economics,"In negotiation, what does 'BATNA' stand for?",Best Alternative to a Negotiated Agreement,Business Agreement for Technical New Assets,Basic Assessment of Total Net Amount,Best Approach to Negotiating Arrears,A
3rd Year,Salary Negotiation & Career Economics,What is a 'Signing Bonus'?,A bonus for good handwriting,A one-time payment given upon joining a company,A monthly allowance,A penalty for leaving,B
3rd Year,Salary Negotiation & Career Economics,Why should you research salary benchmarks before an interview?,To ask for the highest possible number,To have a realistic and data-backed range for negotiation,To show off your research skills,To avoid talking about money,B
3rd Year,Salary Negotiation & Career Economics,What is 'Equity' or 'ESOPs' in a compensation package?,A company car,Shares or options to own part of the company,A higher monthly salary,Free insurance,B
3rd Year,Salary Negotiation & Career Economics,Negotiation should be viewed as a:,War,Collaborative problem-solving process to find a win-win,One-way demand,Waste of time,B
3rd Year,Salary Negotiation & Career Economics,What is 'Gross Salary'?,The salary before any taxes or deductions,The money you get in your bank account,The cost of the office chair,The annual revenue of the company,A
3rd Year,Salary Negotiation & Career Economics,"If a company asks for your current salary, a good strategy is to:",Lie and say it's higher,Focus on your desired range and the value you bring,Refuse to speak,Tell them it's none of their business,B
3rd Year,Salary Negotiation & Career Economics,What is 'Inflation's' impact on salary?,It makes salary go further,It reduces the purchasing power of your income over time,It has no impact,It increases your bank balance,B
3rd Year,Salary Negotiation & Career Economics,Which of these is a non-monetary benefit you can negotiate?,Remote work flexibility,Professional development budget,Vacation days,All of the above,D
3rd Year,Salary Negotiation & Career Economics,What is 'Relocation Allowance'?,Money to buy a new car,Payment to cover the costs of moving for a job,A monthly travel pass,A bonus for staying in one place,B
3rd Year,Salary Negotiation & Career Economics,"In negotiation, 'Anchoring' refers to:",Bringing a boat to the meeting,The first number mentioned setting the tone for the rest of the discussion,Staying silent,Mentioning a very low number,B
3rd Year,Salary Negotiation & Career Economics,What is 'Retention Bonus'?,A bonus for new joins,A payment to encourage an employee to stay with the company for a certain period,A penalty for quitting,A bonus for hiring someone else,B
3rd Year,Salary Negotiation & Career Economics,A 'Fixed Pay' structure means:,The salary changes every month,The guaranteed amount paid regardless of performance,The salary is paid in cash,There are no taxes,B
3rd Year,Salary Negotiation & Career Economics,What is 'Net Worth'?,The total salary earned in a year,Total assets minus total liabilities,The amount of cash in hand,The company's valuation,B
3rd Year,Salary Negotiation & Career Economics,What is the 'Gender Pay Gap'?,The difference in average earnings between men and women,A gap in the office floor,A type of insurance,The cost of men's clothing,A
