year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,Introduction to Engineering Careers,Which engineering branch primarily focuses on the design of circuits and electronic devices?,Civil Engineering,Mechanical Engineering,Electrical/Electronics Engineering,Chemical Engineering,C
1st Year,Introduction to Engineering Careers,What is the primary role of a 'Quality Assurance' (QA) engineer?,Writing marketing copy,Testing products for defects and ensuring standards,Building furniture,Managing human resources,B
1st Year,Introduction to Engineering Careers,Which of these is considered a 'Core' engineering sector?,Fashion Design,Civil Infrastructure,Social Media Management,Retail Sales,B
1st Year,Introduction to Engineering Careers,"In software engineering, what does 'Front-end' refer to?",The part of the website users interact with,The server-side database,The internal company hardware,The marketing department,A
1st Year,Introduction to Engineering Careers,What is the main focus of Environmental Engineering?,Designing faster cars,Protecting the environment and public health,Creating new video games,Building skyscrapers,B
1st Year,Introduction to Engineering Careers,Which role involves managing a project from start to finish within a budget?,Data Entry Clerk,Project Manager,Safety Officer,Intern,B
1st Year,Introduction to Engineering Careers,Mechanical Engineering involves the study of:,Software logic,"Motion, energy, and force in machines",Financial markets,Crop rotation,B
1st Year,Introduction to Engineering Careers,What does 'R&D' stand for in an industrial context?,Retail and Delivery,Research and Development,Repair and Design,Recruit and Deploy,B
1st Year,Introduction to Engineering Careers,An engineer specializing in airplanes and spacecraft is known as an:,Automobile Engineer,Aerospace Engineer,Marine Engineer,Sound Engineer,B
1st Year,Introduction to Engineering Careers,Which engineering field deals with the extraction of minerals?,Petroleum Engineering,Mining Engineering,Biomedical Engineering,Structural Engineering,B
1st Year,Introduction to Engineering Careers,What is a 'Full Stack Developer'?,Someone who only does design,A developer who works on both client-side and server-side,A person who stacks physical servers,A hardware repair specialist,B
1st Year,Introduction to Engineering Careers,Chemical engineers are most likely to work in which industry?,Pharmaceuticals,Banking,Journalism,Fashion,A
1st Year,Introduction to Engineering Careers,Which branch of engineering focus on designing medical equipment?,Civil,Biomedical,Nuclear,Automotive,B
1st Year,Introduction to Engineering Careers,What is the importance of a 'Professional License' for engineers?,It's just for show,It grants legal authority to sign off on public projects,It allows them to drive faster,It replaces their degree,B
1st Year,Introduction to Engineering Careers,"In the tech industry, what is 'Cloud Computing'?",Weather forecasting,On-demand delivery of IT resources over the internet,Repairing laptops,Satellite photography,B
1st Year,Introduction to Engineering Careers,A 'Data Scientist' primarily works with:,Large datasets to find patterns and insights,Cleaning the office,Building physical bridges,Installing operating systems,A
1st Year,Introduction to Engineering Careers,Which engineer designs sewage and water treatment systems?,Civil/Environmental Engineer,Computer Engineer,Robotics Engineer,Chemical Engineer,A
1st Year,Introduction to Engineering Careers,What is 'Mechatronics'?,A field of study in music,"A combination of mechanical, electronics, and computer engineering",The study of metals only,Ancient machine history,B
1st Year,Introduction to Engineering Careers,The study of using biological systems for industrial products is called:,Aerodynamics,Biotechnology,Psychology,Geology,B
1st Year,Introduction to Engineering Careers,Which engineer is responsible for the internal structure of buildings to resist wind and earthquakes?,Structural Engineer,Electrical Engineer,Network Engineer,Agricultural Engineer,A
