year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,Interview Preparation Fundamentals,What is the 'Tell me about yourself' question usually designed to do?,Test your memory of your birth date,Act as an icebreaker and see how you summarize your value,Collect data about your family,Check if you have a sense of humor,B
2nd Year,Interview Preparation Fundamentals,What should you do before the interview regarding the company?,Memorize the CEO's home address,"Research the company's mission, products, and culture",Ask for a salary advance,"Nothing, just show up",B
2nd Year,Interview Preparation Fundamentals,"In a behavioral interview, how should you answer 'Give an example of a time you failed'?",Say you have never failed,Blame your teammates,"Discuss a real situation, what you learned, and how you improved",Talk about a personal hobby failure,C
2nd Year,Interview Preparation Fundamentals,What does 'Body Language' include in an interview?,"Eye contact, posture, and hand gestures",Only the words you speak,The brand of your clothes,The font on your resume,A
2nd Year,Interview Preparation Fundamentals,"If you are asked 'What is your greatest weakness', what is the best approach?",Say 'I'm a perfectionist' as a hidden strength,Mention a real professional weakness and how you are working to overcome it,Say 'I don't have any',Mention a weakness that is critical to the job,B
2nd Year,Interview Preparation Fundamentals,When is the appropriate time to discuss salary during a first-round interview?,In the first 5 minutes,Usually when the interviewer brings it up or at the end if appropriate,Never,Before saying hello,B
2nd Year,Interview Preparation Fundamentals,What is a 'Mock Interview'?,An interview where you make fun of the company,A practice interview to improve your performance,The final interview with the CEO,A written exam,B
2nd Year,Interview Preparation Fundamentals,What should you bring to an in-person interview?,A lunch box,Copies of your resume and a notebook/pen,Your parents,A laptop to play games during breaks,B
2nd Year,Interview Preparation Fundamentals,How should you dress for a 'Business Casual' interview?,T-shirt and shorts,Suit and tie or formal dress,Nice trousers/skirt and a collared shirt/blouse,Gym clothes,C
2nd Year,Interview Preparation Fundamentals,What is the best response if you don't know the answer to a technical question?,Make up an answer,"Be honest, explain your thought process, and how you would find the answer",Stay silent until they move on,Ask for the answer directly,B
2nd Year,Interview Preparation Fundamentals,Why do interviewers ask 'Why do you want to work for us'?,To see if you did your research and fit the culture,To hear you compliment them,Because they forgot what their company does,To check your commute time,A
2nd Year,Interview Preparation Fundamentals,What is the 'STAR' method used for in interviews?,Answering behavioral questions,Ranking your favorite colleagues,Calculating your expected salary,Remembering the interviewer's name,A
2nd Year,Interview Preparation Fundamentals,How soon should you send a thank-you note after an interview?,1 month later,Within 24 hours,Immediately after the first question,"Never, it's desperate",B
2nd Year,Interview Preparation Fundamentals,What is the primary goal of a 'Screening Interview'?,To hire you immediately,To verify your basic qualifications and fit for the next round,To test your coding skills for 5 hours,To introduce you to the whole team,B
2nd Year,Interview Preparation Fundamentals,"In a virtual interview, where should you look to maintain 'eye contact'?",At the person's image on the screen,Directly into the camera lens,At your own image,At the keyboard,B
2nd Year,Interview Preparation Fundamentals,What is a 'Stress Interview'?,An interview held in a gym,An interview designed to see how you handle pressure or difficult questions,An interview where the interviewer is very nice,An interview that lasts 24 hours,B
2nd Year,Interview Preparation Fundamentals,"What should you ask when the interviewer says, 'Do you have any questions for me'?",How much vacation time do I get?,Can you describe the team culture or a typical day in this role?,How soon can I get a promotion?,What is your personal salary?,B
2nd Year,Interview Preparation Fundamentals,A 'Panel Interview' involves:,One interviewer and one candidate,Multiple interviewers and one candidate,One interviewer and multiple candidates,An interview held on a stage,B
2nd Year,Interview Preparation Fundamentals,Why is 'Punctuality' important for an interview?,It shows you have a fast car,It demonstrates reliability and respect for others' time,It allows you to eat breakfast at the office,It is a requirement for the tax department,B
2nd Year,Interview Preparation Fundamentals,What is 'Mirroring' in an interview context?,Looking in a mirror before entering,Subtly mimicking the interviewer's body language to build rapport,Repeating every word the interviewer says,Wearing the same color outfit as the interviewer,B
