year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,Confidence Building in High-Pressure Situations,What is the first step to managing panic during a difficult interview question?,Answering immediately,Taking a deep breath and pausing,Saying 'I don't know' instantly,Ending the interview,B
3rd Year,Confidence Building in High-Pressure Situations,How does 'Visualization' help in high-pressure situations?,It makes you daydream,It helps mentally rehearse a successful outcome to reduce anxiety,It is a waste of time,It distracts you from the task,B
3rd Year,Confidence Building in High-Pressure Situations,What is 'Imposter Syndrome'?,Being a secret agent,A psychological pattern doubting one's accomplishments,A type of computer virus,Having too much confidence,B
3rd Year,Confidence Building in High-Pressure Situations,Which body language trait projects confidence?,Crossing arms tightly,Fidgeting with a pen,Maintaining steady eye contact,Looking at the floor,C
3rd Year,Confidence Building in High-Pressure Situations,"In a high-stakes meeting, if you are interrupted, how should you react?",Shout to regain control,Politely finish your point after the interruption or acknowledge it calmly,Leave the room,Cry,B
3rd Year,Confidence Building in High-Pressure Situations,What is the 'Growth Mindset'?,Believing intelligence is fixed,Believing abilities can be developed through dedication and hard work,Wanting to grow taller,Investing in stocks,B
3rd Year,Confidence Building in High-Pressure Situations,How should you handle a mistake made during a live presentation?,Ignore it and hope no one noticed,"Acknowledge it briefly, correct it, and move on",Spend 10 minutes apologizing,Blame the equipment,B
3rd Year,Confidence Building in High-Pressure Situations,What is the '5-Second Rule' by Mel Robbins used for?,Dropping food on the floor,Taking action before your brain overthinks and stops you,Counting syllables,Timing a sprint,B
3rd Year,Confidence Building in High-Pressure Situations,"In a group discussion, how do you handle a dominant speaker?",Stay silent,Wait for a brief pause to contribute your point assertively,Start an argument,Walk out,B
3rd Year,Confidence Building in High-Pressure Situations,What is 'Positive Self-Talk'?,Bragging to others,The internal dialogue that encourages and validates yourself,Talking to yourself in public,Memorizing scripts,B
3rd Year,Confidence Building in High-Pressure Situations,How can thorough preparation affect pressure?,It increases stress,It reduces uncertainty and builds competence-based confidence,It makes no difference,It makes you overconfident,B
3rd Year,Confidence Building in High-Pressure Situations,Which 'Power Pose' is often cited to boost confidence?,Slumping in a chair,Standing tall with hands on hips (The Wonder Woman/Superman pose),Hiding hands in pockets,Looking down at shoes,B
3rd Year,Confidence Building in High-Pressure Situations,What is 'Systematic Desensitization' in public speaking?,Avoiding speaking altogether,Gradual exposure to speaking in front of larger groups to reduce fear,Speaking only to friends,Using a robot voice,B
3rd Year,Confidence Building in High-Pressure Situations,"If you blank out during a speech, what is a helpful strategy?",Running away,Taking a sip of water or asking a clarifying question to buy time,Repeating the same word,Staring blankly at the audience,B
3rd Year,Confidence Building in High-Pressure Situations,What is 'Resilience' in a professional context?,The ability to never fail,The capacity to recover quickly from difficulties,Being stubborn,Ignoring feedback,B
3rd Year,Confidence Building in High-Pressure Situations,How does 'Reframing' help with anxiety?,It changes the color of your room,It helps view 'nervousness' as 'excitement' or 'energy',It removes the problem entirely,It makes you forget the task,B
3rd Year,Confidence Building in High-Pressure Situations,Why is 'Physical Exercise' linked to confidence?,It gives you a higher salary,It releases endorphins and reduces cortisol (stress hormone),It makes you look mean,It saves money,B
3rd Year,Confidence Building in High-Pressure Situations,"In an interview, if you are asked a 'Stress Question', the interviewer wants to see:",How angry you get,Your emotional regulation and logical thinking under pressure,If you know the answer,How fast you can talk,B
3rd Year,Confidence Building in High-Pressure Situations,What is 'Mindfulness'?,Having a mind full of thoughts,Being present in the moment and aware of your surroundings and feelings,Predicting the future,Ignoring the present,B
3rd Year,Confidence Building in High-Pressure Situations,How should you view 'Failure' to stay confident?,As a permanent mark,As a learning opportunity and feedback,As an end to your career,As someone else's fault,B
