year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,Emerging Technologies Overview,What does 'AI' stand for?,Artificial Intelligence,Advanced Integration,Automated Information,Applied Intuition,A
1st Year,Emerging Technologies Overview,Which technology is the foundation of cryptocurrencies like Bitcoin?,Artificial Intelligence,Blockchain,Virtual Reality,5G,B
1st Year,Emerging Technologies Overview,What is the 'Internet of Things' (IoT)?,A new social media network,A network of physical objects embedded with sensors and software to exchange data,Using the internet for shopping only,A faster version of Wi-Fi,B
1st Year,Emerging Technologies Overview,What is 'Virtual Reality' (VR)?,A really fast computer,A simulated experience that can be similar to or completely different from the real world,A website for video calls,A type of 3D printing,B
1st Year,Emerging Technologies Overview,What is 'Augmented Reality' (AR)?,Replacing reality with a new world,Overlaying digital information onto the real world,Making reality louder,A higher resolution screen,B
1st Year,Emerging Technologies Overview,Which technology focuses on creating three-dimensional objects from a digital file?,Big Data,3D Printing (Additive Manufacturing),Quantum Computing,Cloud Computing,B
1st Year,Emerging Technologies Overview,What is 'Machine Learning'?,A robot that goes to school,A subset of AI that allows systems to learn from data without explicit programming,Repairing old machines,A type of programming language,B
1st Year,Emerging Technologies Overview,What is 'Quantum Computing' primarily based on?,Silicon chips,Principles of quantum mechanics,Using more electricity,Faster internet cables,B
1st Year,Emerging Technologies Overview,"Which technology aims to provide high-speed, low-latency wireless connectivity?",4G,5G,Bluetooth,Dial-up,B
1st Year,Emerging Technologies Overview,What is 'Cloud Computing'?,Storing data on local hard drives,On-demand delivery of compute power and database storage over the internet,Predicting the weather using AI,A type of space travel,B
1st Year,Emerging Technologies Overview,What is 'Big Data'?,One very large file,Extremely large data sets that may be analyzed computationally to reveal patterns,A company that sells computers,The total size of the internet,B
1st Year,Emerging Technologies Overview,What are 'Autonomous Vehicles'?,Cars with very fast engines,Vehicles capable of sensing their environment and operating without human involvement,Electric buses,Cars used by the government,B
1st Year,Emerging Technologies Overview,"In Blockchain, what is a 'Smart Contract'?",A legal document signed by a robot,Self-executing contracts with the terms of the agreement directly written into code,An agreement between two AI systems,A contract with a high salary,B
1st Year,Emerging Technologies Overview,What is 'Edge Computing'?,Computing done at the edge of the world,Processing data closer to where it is being generated,A type of gaming PC,Using computers in the mountains,B
1st Year,Emerging Technologies Overview,What is 'Biotechnology'?,Using technology to build better chairs,Technology based on biology to develop products and tools,Study of technology history,A type of high-tech farming,B
1st Year,Emerging Technologies Overview,What is 'Nanotechnology'?,Technology used by grandmothers,The manipulation of matter on an atomic and molecular scale,A new small smartphone,Programming very fast,B
1st Year,Emerging Technologies Overview,What is a 'Digital Twin'?,An identical sibling,A virtual representation of a physical object or system,Two people sharing a password,A digital copy of a book,B
1st Year,Emerging Technologies Overview,What is the primary goal of 'Cybersecurity'?,To make computers faster,"To protect systems, networks, and programs from digital attacks",To build new websites,To sell antivirus software,B
1st Year,Emerging Technologies Overview,What is 'Robotics Process Automation' (RPA)?,Using physical robots to clean floors,Using software robots to automate repetitive digital tasks,Building cars in a factory,A type of remote control,B
1st Year,Emerging Technologies Overview,What is a 'Neural Network'?,A system of cables in a city,A series of algorithms that endeavors to recognize underlying relationships in data (inspired by the human brain),A social network for doctors,A type of high-speed internet,B
