year,module,question,option_a,option_b,option_c,option_d,correct_answer
4th Year,Global Opportunities & Remote Work,What is 'Remote Work'?,"Working from a distance (e.g., from home or a different city) using digital tools",Working in a far-away office building,Working as a pilot,Working on a farm,A
4th Year,Global Opportunities & Remote Work,What is a 'Digital Nomad'?,Someone who hates computers,A person who works remotely while traveling,A robot,A data entry clerk,B
4th Year,Global Opportunities & Remote Work,What is 'Distributed Team'?,A team that lives in the same office,A group of people working together from different geographical locations,A team with no leader,A team that shares a car,B
4th Year,Global Opportunities & Remote Work,What is 'Asynchronous' communication?,Talking on the phone,"Communication where there is a delay between sending and receiving (e.g., email)",Meeting in person,A video call,B
4th Year,Global Opportunities & Remote Work,What is 'Synchronous' communication?,Sending an email,"Communication that happens in real-time (e.g., video calls, instant messaging)",Writing a letter,Recording a video,B
4th Year,Global Opportunities & Remote Work,Which tool is essential for remote project management?,Trello/Jira,A physical whiteboard,A typewriter,A calculator,A
4th Year,Global Opportunities & Remote Work,What is 'Time Zone' management?,Changing the world's time,Scheduling work and meetings considering participants' local times,Ignoring the clock,Working only at night,B
4th Year,Global Opportunities & Remote Work,What is 'Cultural Intelligence' (CQ)?,Knowing a lot of history,The capability to relate and work effectively across cultures,Speaking 10 languages,Eating different foods,B
4th Year,Global Opportunities & Remote Work,What is a 'Global Mindset'?,Traveling the world,Openness to and awareness of diversity across cultures and markets,Speaking only your native language,Thinking your country is the best,B
4th Year,Global Opportunities & Remote Work,What is 'Expatriate' (Expat) work?,Working in your home town,Living and working in a country other than one's native country,Being fired from a job,Working for a local company,B
4th Year,Global Opportunities & Remote Work,Which is a major challenge of remote work?,Too much commuting,Feelings of isolation and maintaining work-life balance,Having to wear a suit,Free food,B
4th Year,Global Opportunities & Remote Work,What is 'Offshoring'?,Moving a boat,The practice of basing some of a company's processes or services overseas,Hiring a new manager,Selling products locally,B
4th Year,Global Opportunities & Remote Work,What is 'Outsourcing'?,Buying goods from a store,Obtaining goods or a service from an outside or foreign supplier,Selling your company,Hiring employees only,B
4th Year,Global Opportunities & Remote Work,Which platform is popular for finding remote jobs?,LinkedIn / We Work Remotely,Facebook,Instagram,TikTok,A
4th Year,Global Opportunities & Remote Work,What is 'Co-working Space'?,A private office building,A shared workspace for people from different companies/freelancers,A library,A coffee shop only,B
4th Year,Global Opportunities & Remote Work,What is 'Global Mobility'?,The movement of a company's employees across international borders,Buying a new car,Using a mobile phone,Traveling for vacation,A
4th Year,Global Opportunities & Remote Work,Why is 'Reliability' crucial for remote workers?,To show you have a fast internet,"Since there is less direct supervision, trust is built on delivering work consistently",To get a higher salary,To have more free time,B
4th Year,Global Opportunities & Remote Work,What is 'VPN' in the context of remote work?,Virtual Personal Network,Virtual Private Network (provides secure access to a remote network),Very Public Network,Video Professional Node,B
4th Year,Global Opportunities & Remote Work,What is 'Deep Work' in a remote setting?,Working in the basement,Concentrating without distraction on a cognitively demanding task,Working for 24 hours,Doing simple tasks while watching TV,B
4th Year,Global Opportunities & Remote Work,"In a global context, what is 'Standardization'?",Having different rules for everyone,Maintaining uniform processes and quality across different global branches,Lowering standards,Working only in one country,B
