year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,Internship Readiness Program,What is the primary goal of an internship?,To make money,To gain practical experience and network in a professional environment,To replace a full-time employee,To get a free laptop,B
3rd Year,Internship Readiness Program,What is 'Professionalism'?,Being very serious all the time,"Behaving ethically, reliably, and respectfully in a workplace",Wearing a suit everywhere,Knowing everything,B
3rd Year,Internship Readiness Program,How should you prepare for the first day of an internship?,Show up whenever you want,"Research the company, dress appropriately, and be on time",Bring a lot of food,Do nothing,B
3rd Year,Internship Readiness Program,What is 'Netiquette'?,The price of the internet,"Etiquette for online communication (emails, meetings)",A new software,Fishing rules,B
3rd Year,Internship Readiness Program,Why is 'Asking Questions' important as an intern?,To show you are confused,To clarify expectations and learn more quickly,To annoy the boss,To waste time,B
3rd Year,Internship Readiness Program,What is a 'Mentor'?,A person who does your work,An experienced professional who provides guidance and support,A competitor,The CEO,B
3rd Year,Internship Readiness Program,What is 'Taking Initiative' as an intern?,Waiting for instructions,Finding ways to help or add value without being asked,Taking others' belongings,Asking for a promotion,B
3rd Year,Internship Readiness Program,How should you handle 'Constructive Criticism'?,By getting defensive,"By listening, learning, and applying it to improve",By ignoring it,By quitting,B
3rd Year,Internship Readiness Program,What is 'Workplace Culture'?,The types of food in the cafeteria,"The shared values, beliefs, and behaviors of an organization",The building's architecture,The location of the office,B
3rd Year,Internship Readiness Program,Why is 'Networking' important during an internship?,To get free samples,To build professional relationships that can help your future career,To find out gossip,To play games,B
3rd Year,Internship Readiness Program,What is 'Active Listening'?,Hearing noise,Paying full attention and responding appropriately to the speaker,Talking while someone else is talking,Ignoring the speaker,B
3rd Year,Internship Readiness Program,A 'Weekly Check-in' with your manager is for:,Getting free lunch,"Discussing progress, challenges, and goals",Talking about movies,Complaining about coworkers,B
3rd Year,Internship Readiness Program,What is 'Soft Skills' in an internship context?,Technical coding skills,"Interpersonal skills like communication, teamwork, and empathy",Typing fast,Using soft software,B
3rd Year,Internship Readiness Program,How should you dress for a 'Business Casual' environment?,T-shirt and shorts,Nice trousers/skirt and a collared shirt or blouse,A full suit,Gym wear,B
3rd Year,Internship Readiness Program,What is 'Confidentiality' in an internship?,Keeping company secrets and data private,Talking about everything to everyone,Hiding your own mistakes,Not telling your name,A
3rd Year,Internship Readiness Program,What is 'Accountability'?,Being a bank teller,Taking responsibility for your actions and the results of your work,Counting the office supplies,Blaming the equipment,B
3rd Year,Internship Readiness Program,Why is it important to 'Document Your Work'?,To waste time,To show your achievements and keep track of project details,To use more storage,To hide the code,B
3rd Year,Internship Readiness Program,What is a 'Thank You' email after an internship ends used for?,To ask for money,To express gratitude and stay connected with the team,To say you hated the job,To get a free gift,B
3rd Year,Internship Readiness Program,What is 'Punctuality'?,Being exactly on time or early for meetings and work,Being fashionably late,Changing your name,Buying a new watch,A
3rd Year,Internship Readiness Program,The most successful interns are those who:,Do the least work,"Are eager to learn, adaptable, and hardworking",Are the loudest,Know the CEO's personal life,B
