year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,Building Your Personal Brand,What is a 'Personal Brand'?,A logo you design for yourself,"The unique combination of skills, experience, and personality that you want the world to see",Your credit score,The company you work for,B
2nd Year,Building Your Personal Brand,What is the first step in building a personal brand?,Buying a suit,"Self-reflection to identify your values, strengths, and goals",Posting on Instagram,Printing business cards,B
2nd Year,Building Your Personal Brand,What is an 'Elevator Pitch'?,A pitch you make to an elevator technician,A 30-60 second summary of who you are and what you do,A long presentation,A written autobiography,B
2nd Year,Building Your Personal Brand,Why is 'Consistency' important in personal branding?,To show you are boring,To build trust and make your brand recognizable,To save time,To avoid creativity,B
2nd Year,Building Your Personal Brand,Which platform is most critical for professional personal branding?,TikTok,LinkedIn,Snapchat,Discord,B
2nd Year,Building Your Personal Brand,What is a 'Niche' in personal branding?,A small shelf,A specialized segment of the market or area of expertise,Your house,A type of font,B
2nd Year,Building Your Personal Brand,How can blogging help your personal brand?,It helps you win prizes,It establishes you as a thought leader in your field,It is just a hobby,It hides your identity,B
2nd Year,Building Your Personal Brand,What does 'Authenticity' mean for your brand?,Pretending to be someone else,Being true to your actual personality and values,Following every trend,Using a fake name,B
2nd Year,Building Your Personal Brand,Why should you Google yourself?,To see your photos,To understand your current 'Digital Footprint' and what others see,To waste time,To increase your ranking,B
2nd Year,Building Your Personal Brand,What is a 'USP' in personal branding?,United State Priority,Unique Selling Proposition (what makes you different),Universal Standard Practice,Useful Skill Program,B
2nd Year,Building Your Personal Brand,What role does 'Networking' play in branding?,It’s for selling products,It helps expand your brand's reach and visibility through others,It's about collecting business cards,It’s only for extroverts,B
2nd Year,Building Your Personal Brand,How often should you update your professional profiles?,Once a decade,"Regularly, whenever you have a new achievement or skill",Never,Every day,B
2nd Year,Building Your Personal Brand,What is 'Visual Identity' in branding?,The way you see others,"The consistent use of colors, fonts, and images in your professional materials",Your eye color,Your glasses,B
2nd Year,Building Your Personal Brand,Which of these is a brand 'touchpoint'?,Your resume,Your LinkedIn profile,How you dress for meetings,All of the above,D
2nd Year,Building Your Personal Brand,What is 'Content Curation'?,Writing a book,Finding and sharing high-quality content relevant to your niche,Deleting your old photos,Buying content from others,B
2nd Year,Building Your Personal Brand,How do you 'monetize' a personal brand?,By asking for donations,"By leveraging your authority to get jobs, clients, or speaking gigs",By selling your clothes,By charging friends for advice,B
2nd Year,Building Your Personal Brand,What is a 'Brand Statement'?,A legal document,A concise sentence that explains what you do and for whom,A list of your grades,Your name in bold letters,B
2nd Year,Building Your Personal Brand,Why is it important to be 'Helpful' to your network?,To get money,It builds social capital and strengthens your brand reputation,To show you are better than them,To avoid doing your own work,B
2nd Year,Building Your Personal Brand,What is 'Personal SEO'?,Searching for yourself,Optimizing your online profiles with keywords so people can find you,Buying a search engine,Hiding your profiles,B
2nd Year,Building Your Personal Brand,Your personal brand should be based on:,Lies,Your actual strengths and aspirations,What your parents want,A random character,B
