year,module,question,option_a,option_b,option_c,option_d,correct_answer
4th Year,Personal Branding & Personal Development,What is 'Personal Branding'?,Designing a logo for yourself,The practice of marketing yourself and your career as a brand,Buying expensive clothes,Having many social media followers only,B
4th Year,Personal Branding & Personal Development,What is 'Self-Awareness'?,Knowing what others think of you,"Conscious knowledge of one's own character, feelings, and motives",Being aware of your surroundings,Being selfish,B
4th Year,Personal Branding & Personal Development,What is a 'USP' in personal branding?,Unique Selling Proposition (what makes you different),Universal Standard Practice,United State Priority,Useful Skill Program,A
4th Year,Personal Branding & Personal Development,Which platform is most important for professional personal branding?,TikTok,LinkedIn,Snapchat,WhatsApp,B
4th Year,Personal Branding & Personal Development,What is 'Consistency' in branding?,Changing your style every day,Maintaining a uniform message and quality across all professional platforms,Never changing your name,Doing the same thing forever,B
4th Year,Personal Branding & Personal Development,What is an 'Elevator Pitch'?,A pitch done while fixing an elevator,"A short, 30-60 second summary of who you are and what you do",A long autobiography,A pitch for a construction company,B
4th Year,Personal Branding & Personal Development,What is 'Networking'?,Connecting computers together,Developing and using professional contacts for business and career growth,Being friends with everyone,Working on a network cable,B
4th Year,Personal Branding & Personal Development,What is 'Soft Skills' development?,Learning to type,"Improving interpersonal and behavioral skills (e.g., communication, empathy)",Using soft software,Learning a new programming language,B
4th Year,Personal Branding & Personal Development,What is 'Lifelong Learning'?,Staying in school forever,The ongoing pursuit of knowledge for personal or professional reasons,Reading one book a year,Watching the news,B
4th Year,Personal Branding & Personal Development,What is 'Imposter Syndrome'?,Being a secret agent,Feeling like a fraud despite success,A computer virus,Having too much confidence,B
4th Year,Personal Branding & Personal Development,What is 'Active Listening'?,Hearing noise,Fully concentrating and responding thoughtfully to others,Recording a conversation,Waiting for your turn to speak,B
4th Year,Personal Branding & Personal Development,What is 'Growth Mindset'?,Believing you are perfect,The belief that abilities can be developed through effort and learning,Wanting to grow taller,Investing in big companies,B
4th Year,Personal Branding & Personal Development,What is 'Time Management'?,Stopping the clock,Planning and controlling how much time you spend on specific tasks,Checking the time often,Buying a new watch,B
4th Year,Personal Branding & Personal Development,What is 'Professionalism'?,Being very old,"The conduct, aims, or qualities that characterize a profession",Wearing a suit everywhere,Knowing everyone's name,B
4th Year,Personal Branding & Personal Development,What is 'Emotional Intelligence' (EQ)?,Being very emotional,The ability to manage your own emotions and understand others,A high IQ score,Being able to cry on cue,B
4th Year,Personal Branding & Personal Development,What is 'Public Speaking'?,Talking to a few friends,"The act of speaking to a live audience to inform, persuade, or entertain",Reading a book aloud,Being on a phone call,B
4th Year,Personal Branding & Personal Development,What is a 'Portfolio'?,A list of your grades,A collection of your work samples and achievements,A folder for papers,A type of investment,B
4th Year,Personal Branding & Personal Development,What is 'Resilience'?,Never failing,The capacity to recover quickly from difficulties,Being stubborn,Ignoring the problem,B
4th Year,Personal Branding & Personal Development,What is 'Leadership'?,Being the boss,The action of leading a group of people or an organization,Having a fancy title,Giving orders only,B
4th Year,Personal Branding & Personal Development,What is 'Thought Leadership'?,Thinking for others,Providing innovative ideas and influence in a specific area,Passing a test,Memorizing facts,B
