topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
Vocabulary & Word Usage,Identify the meaning of 'Obfuscate'.,To clarify,To simplify,To make obscure or unclear,To remove,C,Hard
Vocabulary & Word Usage,Choose the synonym for 'Sycophant'.,Leader,Flatterer,Opponent,Scholar,B,Hard
Vocabulary & Word Usage,Which word describes someone who is 'extremely talkative'?,Taciturn,Garrulous,Reticent,Laconic,B,Hard
Grammar & Sentence Structure,Which sentence uses the subjunctive mood correctly?,I wish I was taller.,I wish I were taller.,I wish I am taller.,I wish I be taller.,B,Hard
Grammar & Sentence Structure,Identify the type of clause: 'Whomever you choose for the position' in 'Whomever you choose for the position will need training.',Adverbial clause,Adjective clause,Noun clause,Relative clause,C,Hard
Grammar & Sentence Structure,Choose the correct sentence:,He invited my wife and I to dinner.,He invited my wife and me to dinner.,He invited me and my wife to dinner.,He invited I and my wife to dinner.,B,Hard
Pronunciation & Phonetics,Which word has a different vowel sound than 'Food'?,Mood,Blood,Brood,Rude,B,Hard
Pronunciation & Phonetics,Identify the phoneme sequence for the word 'Think'.,/θɪŋk/,/ðɪŋk/,/tɪŋk/,/fɪŋk/,A,Hard
Pronunciation & Phonetics,Which term refers to the rise and fall of the voice in speaking?,Staccato,Intonation,Juncture,Morphology,B,Hard
Reading Comprehension,"In literary criticism, what is 'allegory'?",An exaggeration,A direct comparison using 'like',A narrative where characters represent abstract ideas,A recurring rhythmic pattern,C,Hard
Reading Comprehension,What is the 'central conceit' in a poem?,A hidden mistake,An extended and elaborate metaphor,The author's biography,A rhyme scheme,B,Hard
Reading Comprehension,A text written with a 'Polemical' tone is intended to:,Entertain the audience,Express strong support,Be aggressively critical or argumentative,Remain strictly objective,C,Hard
Professional Communication Skills,What is 'active listening'?,Waiting for your turn to speak,Summarizing and clarifying what the speaker said,Checking emails while listening,Agreeing with everything said,B,Hard
Professional Communication Skills,"In a crisis communication plan, what is a 'Dark Site'?",A secret meeting location,A pre-prepared website section to be activated during an emergency,An encrypted email server,A power outage protocol,B,Hard
Professional Communication Skills,What does the 'm' in 'SMART goals' stand for?,Meaningful,Measurable,Manageable,Modern,B,Hard
Writing & Error Detection,Identify the error: 'The jury have reached a verdict.',The,jury,have,verdict,C,Hard
Writing & Error Detection,Which is an example of an 'oxymoron'?,Loud silence,Fast car,Green grass,Blue sky,A,Hard
Writing & Error Detection,"Correct the sentence: 'Between you and I, this plan won't work.'",Change 'Between' to 'Among',Change 'I' to 'me',Change 'won't' to 'will not',No change needed,B,Hard
Vocabulary & Word Usage,What is the meaning of 'Pernicious'?,Helpful,Harmless,Having a harmful effect,Quick,C,Hard
Grammar & Sentence Structure,"Identify the grammatical structure: 'Having finished the report, the computer was turned off.'",Correct sentence,Comma splice,Dangling participle,Run-on sentence,C,Hard
