year,module,question,option_a,option_b,option_c,option_d,correct_answer
4th Year,Startup Ecosystem & Entrepreneurship,What is a 'Unicorn' in the startup world?,A mythical creature,A startup valued at over $1 billion,A company with one employee,A failing business,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Venture Capital'?,A bank loan,Private equity investment in high-growth startups,Personal savings,Government tax,B
4th Year,Startup Ecosystem & Entrepreneurship,What does 'MVP' stand for?,Most Valued Partner,Minimum Viable Product,Maximum Valuable Process,Major Venture Plan,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Bootstrapping'?,Hiring a new manager,Starting a company with only personal savings,Getting millions in funding,Selling the company,B
4th Year,Startup Ecosystem & Entrepreneurship,What is a 'Pivot'?,Ending the business,A strategic change in business direction,Hiring more staff,Winning an award,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Equity' in a startup context?,The office building,Ownership stake in the company,The monthly salary,Total debts,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Burn Rate'?,The speed of fire,The rate at which a company spends its capital,The office temperature,Employee turnover,B
4th Year,Startup Ecosystem & Entrepreneurship,Who is an 'Angel Investor'?,A religious figure,An individual providing capital for a startup at early stages,A customer,A competitor,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Product-Market Fit'?,Designing a nice logo,When a product satisfies a strong market demand,Having 100 followers,Lowering prices,B
4th Year,Startup Ecosystem & Entrepreneurship,What is an 'Exit Strategy'?,The building's fire escape,A founder's plan to sell ownership to another company or the public,Closing the office for the day,Hiring an intern,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Seed Funding'?,Money for agriculture,The initial capital used to start a business,The final round of investment,A loan for a house,B
4th Year,Startup Ecosystem & Entrepreneurship,What is an 'Incubator'?,A medical device,An organization that helps early-stage startups grow with resources,A type of refrigerator,A large corporation,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Scalability'?,Measuring the office size,The ability to handle growth without losing performance or revenue,The number of stairs,The weight of the product,B
4th Year,Startup Ecosystem & Entrepreneurship,What is a 'Pitch Deck'?,A set of cards,A brief presentation to provide investors with an overview of your business,The office floor,A marketing brochure,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Disruption'?,An annoying noise,An innovation that creates a new market and displaces established firms,A technical failure,A loud argument,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Lean Startup' methodology?,A startup with few employees,A method focusing on rapid prototyping and validated learning,Building a massive factory,Spending all money at once,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Acqui-hiring'?,Buying a competitor's products,Buying a company primarily for its talented employees,Hiring a new manager,Selling office equipment,B
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Runway'?,An airport path,The amount of time a company has before it runs out of money,The size of the lobby,The product launch date,B
4th Year,Startup Ecosystem & Entrepreneurship,What is a 'Sole Proprietorship'?,A business owned by one person,A partnership,A large public company,A government agency,A
4th Year,Startup Ecosystem & Entrepreneurship,What is 'Market Share'?,The stock market,The percentage of an industry's sales that is earned by a particular company,Sharing the office space,The price of a share,B
