year,module,question,option_a,option_b,option_c,option_d,correct_answer
4th Year,Specialization Deep Dive,What is the primary goal of specialization in engineering?,Learning every programming language,Gaining expert-level depth in a niche domain,Working in every department,Avoiding group work,B
4th Year,Specialization Deep Dive,Which concept refers to broad knowledge in many areas and deep knowledge in one?,I-shaped professional,T-shaped professional,Flat professional,Generalist,B
4th Year,Specialization Deep Dive,"When deep-diving into a tech stack, what is 'Under the Hood' knowledge?",Mechanical engineering,Understanding internal implementation and architecture,Learning the UI,Customer service,B
4th Year,Specialization Deep Dive,What is the advantage of 'Domain Expertise'?,Higher salary and problem-solving efficiency,Slower project delivery,Knowing everyone in the office,Easier commute,A
4th Year,Specialization Deep Dive,Which path represents 'Full Stack' specialization?,Learning only HTML,Mastering both frontend and backend development,Learning only SQL,Focusing on hardware,B
4th Year,Specialization Deep Dive,What is 'Niche Authority'?,Being the boss of a small room,Being recognized as an expert in a specific sub-field,Following all trends,Having many followers,B
4th Year,Specialization Deep Dive,"In AI/ML specialization, what is 'Hyperparameter Tuning'?",Buying more RAM,Optimizing the model's configuration for better results,Writing the first line of code,Deleting the dataset,B
4th Year,Specialization Deep Dive,Which resource is best for a technical deep dive?,Official documentation and whitepapers,Social media memes,Fictional books,Quick news headlines,A
4th Year,Specialization Deep Dive,What is 'Legacy Code' in a specialization context?,Code that is perfect,Old codebases that still perform critical functions,Future code,A secret password,B
4th Year,Specialization Deep Dive,Why is 'Continuous Learning' essential for specialists?,"Technology evolves rapidly, making old skills obsolete",To get a degree,To stop working,To change your name,A
4th Year,Specialization Deep Dive,What is a 'Subject Matter Expert' (SME)?,An entry-level employee,A person with authoritative knowledge of a specific area,A project manager,A temporary worker,B
4th Year,Specialization Deep Dive,"In Cloud specialization, what does 'Serverless' actually mean?",There are no servers,"Servers are managed by the provider, hidden from user",Running code on a calculator,Using only physical hardware,B
4th Year,Specialization Deep Dive,Which is a characteristic of a 'Specialist' resume?,Listing 50 unrelated skills,Highlighting specific projects and certifications in a niche,Hiding your experience,Using many colors,B
4th Year,Specialization Deep Dive,What is 'Cross-disciplinary' specialization?,Learning only one thing,Applying specialized knowledge across different fields,Leaving engineering,Ignoring other fields,B
4th Year,Specialization Deep Dive,"In Cybersecurity, what is 'Penetration Testing'?",A fitness test,Authorized simulated attacks to find vulnerabilities,Repairing a broken screen,Writing an email,B
4th Year,Specialization Deep Dive,What is 'Technical Debt'?,Owing money to a bank,Future cost of rework caused by choosing an easy solution now,The price of a laptop,A loan for a startup,B
4th Year,Specialization Deep Dive,Which is a 'Deep Dive' activity?,Reading a summary,Analyzing source code of open-source libraries,Watching a 1-minute video,Asking for a hint,B
4th Year,Specialization Deep Dive,What is 'Vertical Expertise'?,Knowledge of many industries,Deep knowledge of a specific industry/function,Climbing a ladder,Learning many languages,B
4th Year,Specialization Deep Dive,"In Data Science, 'Feature Engineering' involves:",Building a car,Selecting and transforming variables for better models,Designing a website,Managing a team,B
4th Year,Specialization Deep Dive,What is 'Thought Leadership'?,Thinking for others,Providing innovative ideas and influence in a niche,Taking a test,Memorizing facts,B
