year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,Project Presentation & Demo Skills,What is the first thing you should define for a project presentation?,The color scheme of the slides,The target audience and their technical level,The number of slides,The font size,B
3rd Year,Project Presentation & Demo Skills,What is the 'Hook' in a presentation?,A technical error,An engaging opening that grabs the audience's attention,A piece of code,The end of the slides,B
3rd Year,Project Presentation & Demo Skills,Why is a 'Live Demo' risky?,It's too easy,Technical failures can occur unexpectedly,Nobody likes live demos,It takes too little time,B
3rd Year,Project Presentation & Demo Skills,What is a 'Fallback Plan' for a demo?,Not doing the demo,A recorded video or screenshots of the working product,Crying if it fails,Blaming the internet,B
3rd Year,Project Presentation & Demo Skills,How much text should ideally be on a presentation slide?,As much as possible,"Minimal, using bullet points for key ideas only",No text at all,Only code,B
3rd Year,Project Presentation & Demo Skills,What is 'Slide Real Estate'?,The price of the software,The limited space available on a slide to convey information effectively,The number of slides,The size of the projector,B
3rd Year,Project Presentation & Demo Skills,What is the '10/20/30 Rule' by Guy Kawasaki?,"10 mins, 20 slides, 30 pt font","10 slides, 20 mins, 30 pt font","10 font size, 20 slides, 30 mins","10 images, 20 texts, 30 slides",B
3rd Year,Project Presentation & Demo Skills,"In a technical demo, what should you focus on first?",The complexity of the code,The value and use case of the product,Every single variable name,The development environment,B
3rd Year,Project Presentation & Demo Skills,What does 'Body Language' include during a demo?,Only your hand movements,"Eye contact, posture, and facial expressions",The way you type,The way you sit,B
3rd Year,Project Presentation & Demo Skills,How should you handle technical questions you can't answer?,Make up an answer,Acknowledge the question and offer to follow up after research,Ignore the question,Tell them the question is bad,B
3rd Year,Project Presentation & Demo Skills,What is the 'Elevator Pitch' for a project?,A 30-60 second summary of the project's essence,A pitch made in an elevator only,A 10-page report,The conclusion of the project,A
3rd Year,Project Presentation & Demo Skills,Why is 'Contrast' important in slide design?,To make it colorful,To ensure text is readable against the background,To use every color in the palette,To look artistic,B
3rd Year,Project Presentation & Demo Skills,What is the purpose of 'Q&A'?,To test the speaker's patience,To clarify doubts and engage deeply with the audience,To fill time,To end the presentation,B
3rd Year,Project Presentation & Demo Skills,How should you transition between slides?,By saying 'Next slide please' every time,Using verbal cues that link the current point to the next,Staying silent,Clicking very fast,B
3rd Year,Project Presentation & Demo Skills,What is the most important part of 'Post-Project Reflection'?,Calculating the cost,Identifying what went well and what could be improved,Celebrating with friends,Deleting the code,B
3rd Year,Project Presentation & Demo Skills,"When presenting a group project, what is key?",One person doing all the talking,Smooth transitions between different speakers,Competing for the best part,Everyone reading the same slide,B
3rd Year,Project Presentation & Demo Skills,Visual aids should be:,Decorative only,Complementary to what the speaker is saying,Used to distract the audience,Highly detailed and complex,B
3rd Year,Project Presentation & Demo Skills,What is a 'User Persona' in a project context?,A fake friend,A representation of the typical user of the product,A celebrity,The developer,B
3rd Year,Project Presentation & Demo Skills,Why should you practice 'Time Management' during a demo?,To finish as fast as possible,To ensure all key features are covered within the allotted time,To avoid questions,To look like a professional athlete,B
3rd Year,Project Presentation & Demo Skills,The 'Conclusion' of your presentation should always include:,A summary of key points and a call to action,Your personal life story,A joke about the project,A list of every line of code,A
