year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,"Managing Academics, Placements & Growth",What is the 'Eisenhower Matrix'?,A tool for making movies,A decision-making tool for prioritizing tasks by urgency and importance,A coding framework,A math formula,B
3rd Year,"Managing Academics, Placements & Growth",What is 'Time Blocking'?,A way to stop time,A technique of scheduling specific blocks of time for specific tasks,A type of clock,Ignoring time,B
3rd Year,"Managing Academics, Placements & Growth",Why is 'Burnout' a risk in 3rd year?,Because students sleep too much,High pressure from balancing academics and placement preparation,Because there is no work to do,Because of too much social media,B
3rd Year,"Managing Academics, Placements & Growth",What is 'Batch Processing' in productivity?,Cooking a large meal,Grouping similar tasks together to improve focus and efficiency,Doing one task at a time,A type of computer processing only,B
3rd Year,"Managing Academics, Placements & Growth",How should you handle a low grade during placement season?,Quit placements,"Analyze the cause, fix it, and stay focused on the bigger picture",Ignore it and hope no one sees,Blame the teacher,B
3rd Year,"Managing Academics, Placements & Growth",What is the 'Pomodoro Technique'?,A recipe for pasta,A time management method using 25-minute work intervals followed by a break,A type of exercise,A study group,B
3rd Year,"Managing Academics, Placements & Growth",Which of these is a 'High-Value Task' for a 3rd year student?,Scrolling social media,Preparing for technical interviews and coding,Watching a movie every day,Reorganizing their desk for hours,B
3rd Year,"Managing Academics, Placements & Growth",What is 'Pareto Principle'?,80% of results come from 20% of effort,20% of results come from 80% of effort,Everyone works the same,A law in physics,A
3rd Year,"Managing Academics, Placements & Growth",How can you maintain 'Growth' while busy?,By doing the same things every day,"By setting small, consistent learning goals outside of curriculum",By waiting for graduation,By sleeping 12 hours,B
3rd Year,"Managing Academics, Placements & Growth",What is a 'Syllabus Breakdown'?,Deleting the syllabus,Organizing the curriculum into manageable study chunks,Failing a test,Buying new books,B
3rd Year,"Managing Academics, Placements & Growth",Why is 'Physical Health' important for academic and placement success?,It makes you look good in photos,"It improves focus, energy, and mental resilience",It has no impact,It saves money on doctors,B
3rd Year,"Managing Academics, Placements & Growth",What is 'Multitasking' often actually doing to your brain?,Making it faster,"Context switching, which reduces overall efficiency and focus",Making you smarter,Saving a lot of time,B
3rd Year,"Managing Academics, Placements & Growth",What is a 'Peer Study Group'?,A group of friends who party,A group of students who collaborate to study and solve problems,A competition,A secret society,B
3rd Year,"Managing Academics, Placements & Growth",What is 'Deep Work'?,Working in a basement,Professional activities performed in a state of distraction-free concentration,Working for 24 hours straight,Doing simple tasks,B
3rd Year,"Managing Academics, Placements & Growth",How should you manage 'Placement Rejection'?,Giving up,Viewing it as feedback and refining your preparation strategy,Getting angry at the company,Hiding it from everyone,B
3rd Year,"Managing Academics, Placements & Growth",What is a 'Growth Journal'?,A place to write poems,"A tool to track progress, learnings, and areas for improvement",A biology book,A list of things to buy,B
3rd Year,"Managing Academics, Placements & Growth",Why is 'Sleep' critical during exam/placement season?,To avoid work,For memory consolidation and cognitive function,Because the bed is comfortable,To dream about the future,B
3rd Year,"Managing Academics, Placements & Growth",What is 'Saying No' important for?,Being mean,Protecting your time for high-priority academic and career tasks,Having no friends,Avoiding all work,B
3rd Year,"Managing Academics, Placements & Growth",What is 'Self-Assessment'?,Checking your reflection,The process of identifying your own strengths and weaknesses,An exam given by a teacher,Buying new clothes,B
3rd Year,"Managing Academics, Placements & Growth",A 'Career Roadmap' helps you:,Find your way to the office,Visualize the steps needed to reach your long-term professional goals,Drive a car,Book a holiday,B
