year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,Internship Success Strategy,What is the primary goal of an internship for a student?,To make a lot of money,To gain practical experience and network,To replace a full-time employee,To get a free laptop,B
2nd Year,Internship Success Strategy,What does 'Taking Initiative' mean in an internship?,Waiting to be told every single task,Finding useful things to do without being asked,Taking credit for others' work,Asking for a promotion on the first day,B
2nd Year,Internship Success Strategy,Why is it important to set goals with your supervisor early on?,To show you are the boss,To ensure expectations are clear and progress can be tracked,To avoid doing work,To get a higher salary,B
2nd Year,Internship Success Strategy,What is a 'Networking Lunch'?,Eating alone at your desk,Using lunch time to meet and learn from colleagues,Ordering the most expensive food,Talking about non-work things only,B
2nd Year,Internship Success Strategy,How should you handle receiving constructive criticism?,Get defensive and angry,"Listen, take notes, and apply the feedback to improve",Ignore it,Quit the internship,B
2nd Year,Internship Success Strategy,What is an 'Informational Interview'?,A meeting to ask for a job,A meeting to learn about a professional's career path and industry,A test given by HR,A formal performance review,B
2nd Year,Internship Success Strategy,What is 'Professionalism' in an internship?,Showing up whenever you want,"Reliability, punctuality, and appropriate conduct/dress",Being the loudest in the room,Only doing what is in your job description,B
2nd Year,Internship Success Strategy,Why should you document your tasks and achievements during an internship?,To show off,To update your resume and prepare for future interviews,To prove your boss is wrong,To keep it a secret from others,B
2nd Year,Internship Success Strategy,What is the best way to handle 'downtime' at an internship?,Play games on your phone,Ask for more work or offer to help a teammate,Go home early,Sleep in the breakroom,B
2nd Year,Internship Success Strategy,What is a 'Mentor' in an office setting?,A person who does your work,An experienced person who provides guidance and support,The person who pays your salary,A competitor,B
2nd Year,Internship Success Strategy,How should you approach a task you don't know how to do?,Pretend you know and do it wrong,Ask for clarification or guidance after trying to find a solution,Ignore the task,Ask someone else to do it for you,B
2nd Year,Internship Success Strategy,Why is 'Workplace Culture' important to observe?,To find the best snacks,To understand the unwritten rules and how to fit in,To find people to gossip with,To change the rules immediately,B
2nd Year,Internship Success Strategy,What does 'NDA' stand for in an internship contract?,No Data Available,Non-Disclosure Agreement,New Department Association,National Delivery Agency,B
2nd Year,Internship Success Strategy,Which of these is a good way to end an internship?,Leave without saying goodbye,Send a thank-you note and ask to stay in touch,Delete all your files,Ask for a 50% raise,B
2nd Year,Internship Success Strategy,What is a 'PPO' in the context of internships?,Personal Project Office,Pre-Placement Offer,Post-Program Operation,Public Placement Organization,B
2nd Year,Internship Success Strategy,Why is it important to proofread your emails before sending them?,To make them longer,To ensure clarity and maintain a professional image,To use more big words,To hide your identity,B
2nd Year,Internship Success Strategy,What is 'Shadowing'?,Following a professional to observe their daily work,Hiding in the office,Spying on competitors,Working at night,A
2nd Year,Internship Success Strategy,How can you demonstrate 'Soft Skills' during an internship?,By coding 24/7,By communicating effectively and collaborating with the team,By fixing the printer,By knowing the CEO's name,B
2nd Year,Internship Success Strategy,What is the most professional way to notify your boss you are sick?,Post it on social media,Call or email them as early as possible,Wait for them to call you,Tell a friend to tell them,B
2nd Year,Internship Success Strategy,Should you include 'Intern' in your title on LinkedIn?,"No, hide it","Yes, it shows your current professional status and learning phase",Only if you get paid,Only if you worked for a famous company,B
