topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
Vocabulary & Word Usage,What does the word 'Diligent' mean?,Lazy,Hard-working,Funny,Quiet,B,Medium
Vocabulary & Word Usage,Which word is an antonym for 'Generous'?,Kind,Stingy,Happy,Rich,B,Medium
Vocabulary & Word Usage,Select the correct word to fill the gap: 'The medicine had a strange ____ on him.',Affect,Effect,Effort,Afford,B,Medium
Grammar & Sentence Structure,"By the time we arrived, the movie ____.",started,had started,was starting,has started,B,Medium
Grammar & Sentence Structure,"If I ____ you, I would take the job.",am,was,were,be,C,Medium
Grammar & Sentence Structure,Neither the manager nor the employees ____ present.,was,were,is,has been,B,Medium
Pronunciation & Phonetics,Which word has a silent 'k'?,Kick,Knife,Keep,Kind,B,Medium
Pronunciation & Phonetics,Where is the primary stress in the word 'Education'?,Ed-,u-,ca-,tion,C,Medium
Pronunciation & Phonetics,Which of these words contains a diphthong?,Bit,Bet,Boy,Bat,C,Medium
Reading Comprehension,"What is the 'tone' of a text that uses words like 'tragic', 'gloomy', and 'hopeless'?",Cheerful,Optimistic,Pessimistic,Neutral,C,Medium
Reading Comprehension,What does the phrase 'read between the lines' mean?,Read very fast,Understand hidden meanings,Focus on the font,Skip sentences,B,Medium
Reading Comprehension,An 'inference' is a conclusion based on:,Direct facts only,Evidence and reasoning,Guesses without proof,The title of the book,B,Medium
Professional Communication Skills,What is the purpose of an 'Agenda' in a meeting?,To take notes,To list items to be discussed,To introduce participants,To end the meeting,B,Medium
Professional Communication Skills,Which is the most appropriate way to disagree in a business meeting?,You are wrong.,"I see your point, but I have a different perspective.",That's a bad idea.,Be quiet and listen to me.,B,Medium
Professional Communication Skills,What does the acronym 'FYI' stand for?,For Your Information,Find Your Items,Follow Your Instincts,Focus Your Ideas,A,Medium
Writing & Error Detection,Identify the error: 'The criteria for the selection was very strict.',The,criteria,was,strict,C,Medium
Writing & Error Detection,Which sentence uses correct capitalization?,we went to New York last Summer.,We went to New York last summer.,We went to new york last Summer.,We went to New york last summer.,B,Medium
Writing & Error Detection,"Identify the dangling modifier error: 'Walking down the street, the trees were beautiful.'",Walking,down,the trees,beautiful,C,Medium
Vocabulary & Word Usage,What is the synonym of 'Ephemeral'?,Permanent,Short-lived,Brilliant,Giant,B,Medium
Grammar & Sentence Structure,Which of these is a compound sentence?,I like tea.,I like tea and coffee.,"I like tea, but he likes coffee.",Because I like tea.,C,Medium
