year,module,question,option_a,option_b,option_c,option_d,correct_answer
4th Year,Advanced Leadership & Management,What is 'Transformational Leadership'?,Leadership by fear,Leadership that inspires and motivates followers to achieve extraordinary outcomes,Changing your name,Managing a team of robots,B
4th Year,Advanced Leadership & Management,What is 'Emotional Intelligence' (EQ)?,Being very emotional,The ability to manage your emotions and understand others' emotions,A high IQ score,Being able to cry easily,B
4th Year,Advanced Leadership & Management,What is 'Strategic Planning'?,Planning a vacation,Defining an organization's direction and making decisions on allocating resources,Choosing a lunch menu,Writing a diary,B
4th Year,Advanced Leadership & Management,What is 'Conflict Resolution'?,Winning an argument,Finding a peaceful solution to a disagreement,Ignoring the problem,Firing everyone,B
4th Year,Advanced Leadership & Management,What is 'Delegation'?,Doing everything yourself,Entrusting a task or responsibility to another person,Avoiding work,Hiring an assistant only,B
4th Year,Advanced Leadership & Management,What is 'Servant Leadership'?,Being a servant,A leadership philosophy where the main goal is to serve others,Leading with an iron fist,A manager who does no work,B
4th Year,Advanced Leadership & Management,What is 'Corporate Governance'?,Government rules for companies,"The system of rules, practices, and processes by which a firm is directed",The company's marketing,The office layout,B
4th Year,Advanced Leadership & Management,What is 'Change Management'?,Managing the coins,"A collective term for all approaches to prepare, support, and help individuals in organizational change",Hiring a new manager,Moving the office,B
4th Year,Advanced Leadership & Management,What is a 'SWOT Analysis'?,A type of workout,"Strengths, Weaknesses, Opportunities, Threats",A software test,A meeting about taxes,B
4th Year,Advanced Leadership & Management,What is 'Micromanagement'?,Managing very small things,A leadership style where a manager closely observes or controls the work of subordinates,Leadership from a distance,Using a microscope,B
4th Year,Advanced Leadership & Management,What is 'Accountability'?,Being an accountant,Taking responsibility for one's actions and decisions,Blaming others,Counting the money,B
4th Year,Advanced Leadership & Management,What is 'Organizational Culture'?,The company's history,"The underlying beliefs, values, and ways of interacting in a company",The type of food in the canteen,The building's architecture,B
4th Year,Advanced Leadership & Management,What is 'Risk Management'?,Taking no risks,"The identification, evaluation, and prioritization of risks followed by coordinated application of resources",Insurance only,Investing all money,B
4th Year,Advanced Leadership & Management,What is 'KPI'?,Key Performance Indicator,Key Profit Item,Knowledge Processing Index,Key Person Identification,A
4th Year,Advanced Leadership & Management,What is 'Active Listening'?,Hearing noise,Fully concentrating and responding thoughtfully to what is being said,Talking over others,Recording a meeting,B
4th Year,Advanced Leadership & Management,What is 'Transactional Leadership'?,A leader who trades items,A style based on an exchange between leader and follower (rewards/punishments),Leadership without rules,A new management theory,B
4th Year,Advanced Leadership & Management,What is 'Succession Planning'?,Planning a successful party,Identifying and developing new leaders to replace old ones,Planning to quit,A marketing strategy,B
4th Year,Advanced Leadership & Management,What is 'Stakeholder Management'?,Managing the food supply,Identifying and managing the expectations of those who have an interest in a project/company,Managing the shareholders only,Managing the office staff only,B
4th Year,Advanced Leadership & Management,What is 'Autocratic Leadership'?,Leadership by everyone,A style where one individual has total decision-making power,Leadership through voting,No leadership at all,B
4th Year,Advanced Leadership & Management,What is 'Synergy'?,A type of fuel,The interaction or cooperation of two or more organizations/people to produce a combined effect greater than the sum of their separate effects,A long argument,A solo performance,B
