year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,Hackathon Success & Learning,What is a 'Hackathon'?,A marathon for hackers only,"A short, intense event where people collaborate on tech projects",A computer security class,A gaming tournament,B
2nd Year,Hackathon Success & Learning,What is the most important part of a hackathon team?,Having only experts,Diverse skills and effective communication,Having the most expensive laptops,Wearing matching t-shirts,B
2nd Year,Hackathon Success & Learning,What is an 'MVP' in a hackathon?,Most Valuable Player,Minimum Viable Product,Main Visual Prototype,Multi-Variable Program,B
2nd Year,Hackathon Success & Learning,How should you choose a project idea?,Pick the hardest one possible,Solve a real-world problem within the time limit,Copy an existing app exactly,Wait for someone to tell you,B
2nd Year,Hackathon Success & Learning,What is the purpose of 'Scoping' your project?,To look through a telescope,To define the boundaries and features of the project so it's finishable,To hire more people,To win the prize money,B
2nd Year,Hackathon Success & Learning,What is 'Rapid Prototyping'?,Building a perfect product slowly,Quickly creating a working model to test ideas,Using a 3D printer only,Writing a long manual,B
2nd Year,Hackathon Success & Learning,Why is the 'Pitch' important in a hackathon?,To sell the product to users later,To explain the value and functionality of your project to judges,To fill time at the end,To brag about your coding skills,B
2nd Year,Hackathon Success & Learning,Which tool is commonly used for version control in hackathons?,Dropbox,Git/GitHub,Google Drive,WhatsApp,B
2nd Year,Hackathon Success & Learning,What should you do if your code has a major bug 1 hour before the deadline?,Panic and quit,Find a workaround or simplify the feature for the demo,Start over from scratch,Blame your teammate,B
2nd Year,Hackathon Success & Learning,What is 'API' in the context of development?,Application Programming Interface,Advanced Personal Integration,Automated Program Index,Apple Project Idea,A
2nd Year,Hackathon Success & Learning,What is the 'Judging Criteria' usually based on?,"Innovation, Design, Utility, and Presentation",Only the number of lines of code,The speed of the internet,The beauty of the team,A
2nd Year,Hackathon Success & Learning,What is 'Open Source'?,A door that is open,"Software with source code that anyone can inspect, modify, and enhance",Free software with no support,Software made by one person,B
2nd Year,Hackathon Success & Learning,How do you handle sleep during a 24-hour hackathon?,Don't sleep at all,Take short naps and stay hydrated to maintain focus,Sleep for 12 hours,Drink only energy drinks,B
2nd Year,Hackathon Success & Learning,What is a 'Tech Stack'?,A pile of computers,The set of technologies used to build a project,A website for buying gadgets,A bookshelf for coding books,B
2nd Year,Hackathon Success & Learning,Why is 'User Experience' (UX) important in a hackathon demo?,To make it look pretty,To ensure the judges can easily understand and use the tool,To use more colors,To hide technical errors,B
2nd Year,Hackathon Success & Learning,What should you do after a hackathon?,Delete the project,Document what you learned and add it to your portfolio,Never speak to your teammates again,Forget everything,B
2nd Year,Hackathon Success & Learning,What is a 'DevPost'?,A post office for developers,A platform to showcase hackathon projects,A new social media app,A coding tutorial site,B
2nd Year,Hackathon Success & Learning,What is the benefit of participating in a hackathon if you don't win?,None,"Learning new skills, networking, and project building",Free food only,It looks bad on a resume,B
2nd Year,Hackathon Success & Learning,What is a 'Framework' in programming?,A picture frame,A platform for developing software applications,A set of laws,A type of database,B
2nd Year,Hackathon Success & Learning,"During a demo, you should focus on:",Showing every line of code,Telling a story of why the project matters and how it works,The history of your team,Complaining about the lack of time,B
