year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,How to Ace Ideathons,What is the primary goal of an Ideathon?,To build a complete software product,To generate innovative solutions to specific problems,To win prize money only,To write a long thesis,B
1st Year,How to Ace Ideathons,What does 'MVP' stand for in a project context?,Most Valuable Player,Minimum Viable Product,Main Visual Presentation,Maximum Value Proposal,B
1st Year,How to Ace Ideathons,Which of the following is the best way to start an Ideathon pitch?,Reading a list of features,A compelling story or a problem statement,Stating your names for 5 minutes,Showing the code,B
1st Year,How to Ace Ideathons,What is 'Brainstorming'?,Fighting with teammates,Generating as many ideas as possible without immediate judgment,Memorizing facts,Taking a nap,B
1st Year,How to Ace Ideathons,"When defining a problem, it should be:",Vague,Broad,Specific and clear,Unsolvable,C
1st Year,How to Ace Ideathons,What is the 'Pain Point' in a user experience?,A physical injury,A specific problem that users face,A point in the code that errors,The price of the product,B
3rd Year,How to Ace Ideathons,What is the purpose of 'Target Audience' analysis?,To invite people to a party,To understand who will benefit from your solution,To see how many people are in the room,To find investors only,B
1st Year,How to Ace Ideathons,A 'Pitch Deck' usually consists of:,A set of playing cards,A slide presentation summarizing the idea,A physical model of the project,A long written report,B
1st Year,How to Ace Ideathons,What is 'Feasibility' in an Ideathon?,How pretty the project looks,Whether the idea can actually be implemented with existing technology,The number of teammates,The time it takes to present,B
1st Year,How to Ace Ideathons,Why is 'Collaboration' key in an Ideathon?,To divide the prize money,To combine different perspectives and skill sets,To have someone to blame,To finish the slides faster,B
1st Year,How to Ace Ideathons,What is 'Scalability'?,The size of the team,The potential for the solution to grow and handle more users,The weight of the prototype,The speed of the presentation,B
1st Year,How to Ace Ideathons,"In an Ideathon, 'Design Thinking' starts with:",Coding,Empathy (understanding the user),Buying a domain name,Choosing a logo,B
1st Year,How to Ace Ideathons,What is a 'Prototype'?,The final version of a product,A preliminary model or representation of the idea,A marketing flyer,The team leader,B
1st Year,How to Ace Ideathons,How should you handle the Q&A session?,Defend your idea aggressively,Listen carefully and answer based on your research and logic,Say you don't know to every question,Ignore the judges,B
1st Year,How to Ace Ideathons,What does 'Disruption' mean in innovation?,A loud noise,An idea that fundamentally changes how an industry works,Failing to finish on time,Stopping the competition,B
1st Year,How to Ace Ideathons,A good Ideathon team should have members with:,The same hobby,"Complementary skills (e.g., tech, design, business)",No experience,The same major only,B
1st Year,How to Ace Ideathons,What is 'Pivot' in a startup context?,Spinning in a circle,Changing the strategic direction of an idea based on feedback,Ending the project,Fixing a bug,B
1st Year,How to Ace Ideathons,What is the importance of 'Sustainability' in an idea?,It uses a lot of power,The solution should be viable in the long term (socially/environmentally/economically),It's only for gardening projects,It means the project is free,B
1st Year,How to Ace Ideathons,Why is 'Storytelling' important in a pitch?,To lie to the judges,To make the idea memorable and relatable,To use more time,To avoid showing technical details,B
1st Year,How to Ace Ideathons,What is an 'Elevator Pitch'?,A pitch done while fixing an elevator,"A short, 30-60 second summary of the idea",A very long detailed lecture,A pitch for a construction company,B
