year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,LinkedIn Mastery for Students,What is the primary function of the LinkedIn Headline?,To state your name,To briefly describe your professional value and current role,To list your home address,To write a long bio,B
2nd Year,LinkedIn Mastery for Students,Which photo is most appropriate for a LinkedIn profile?,A group photo from a party,"A professional, clear headshot",A photo of your pet,A scenic landscape,B
2nd Year,LinkedIn Mastery for Students,What does '1st-degree connection' mean on LinkedIn?,Someone you share a group with,People you are directly connected to,Friends of your friends,People you have blocked,B
2nd Year,LinkedIn Mastery for Students,Why is the 'About' (Summary) section important?,It’s where you list your birth date,It allows you to tell your professional story and goals,It’s for listing your references,It is mandatory for salary negotiation,B
2nd Year,LinkedIn Mastery for Students,What is the best way to ask for a connection with a stranger?,Send a blank request,Send a personalized note explaining why you want to connect,Ask for a job in the first message,Tag them in a random post,B
2nd Year,LinkedIn Mastery for Students,How can students show 'social proof' of their skills on LinkedIn?,By liking their own posts,Through 'Endorsements' and 'Recommendations',By listing 100 skills,By changing their profile picture daily,B
2nd Year,LinkedIn Mastery for Students,What is the purpose of the 'Featured' section?,To list your favorite movies,"To showcase specific work samples, posts, or certificates",To hide your experience,To show who visited your profile,B
2nd Year,LinkedIn Mastery for Students,Which of these is a 'Hard Skill' you might list on LinkedIn?,Adaptability,Java Programming,Teamwork,Empathy,B
2nd Year,LinkedIn Mastery for Students,LinkedIn 'Premium' is most useful for:,Viewing private profiles,Advanced job seeking and InMail messaging,Playing games,Removing ads from the feed,B
2nd Year,LinkedIn Mastery for Students,How often should a student ideally engage with content on LinkedIn?,Once a year,"Regularly (e.g., weekly) to stay visible in the network",Every hour,"Never, it's only for looking at jobs",B
2nd Year,LinkedIn Mastery for Students,What is an 'InMail' on LinkedIn?,A regular email sent to Gmail,A private message to someone you aren't connected with,A post on your timeline,A newsletter,B
2nd Year,LinkedIn Mastery for Students,What does the 'Open to Work' feature do?,Notifies recruiters that you are seeking opportunities,Automatically applies to jobs for you,Makes your profile invisible to current employers only,Gives you a higher salary,A
2nd Year,LinkedIn Mastery for Students,Why should students join LinkedIn Groups?,To get free coupons,To network with professionals in specific industries,To chat with friends from high school,To bypass the password security,B
2nd Year,LinkedIn Mastery for Students,What is the 'Alumni' tool on LinkedIn useful for?,Finding where graduates of your school work,Ordering transcripts,Buying university merchandise,Voting for class president,A
2nd Year,LinkedIn Mastery for Students,"When posting content, which format typically gets high engagement?",Only long text articles,"A mix of text, images, and useful insights",Posting the same thing 10 times,Using no hashtags,B
2nd Year,LinkedIn Mastery for Students,What is the maximum number of skills you can add to your profile?,5,50,100,Unlimited,B
2nd Year,LinkedIn Mastery for Students,What is a 'Cold Message' on LinkedIn?,A message sent during winter,An unsolicited message to someone you don't know to build a connection,An angry message,An automated spam email,B
2nd Year,LinkedIn Mastery for Students,What should you do after attending a professional webinar?,Nothing,Connect with the speaker on LinkedIn with a thank-you note,Wait for them to find you,Comment 'Nice' on their oldest post,B
2nd Year,LinkedIn Mastery for Students,A 'Personalized URL' on LinkedIn looks like:,linkedin.com/in/yourname,linkedin.com/user123456789,google.com/yourname,linkedin.com/profile/edit,A
2nd Year,LinkedIn Mastery for Students,What is the best way to get a Recommendation?,Buy it online,Provide value to others and then politely ask for one,Write one for yourself using a fake account,Force your siblings to do it,B
