year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,Internship to Full-Time Conversion,What is the primary factor companies consider for converting an intern to a full-time employee?,The intern's social media following,"Performance, cultural fit, and business need",The intern's hometown,The brand of laptop the intern uses,B
3rd Year,Internship to Full-Time Conversion,What does 'Exceeding Expectations' mean for an intern?,Doing exactly what is in the job description,Proactively taking on tasks and delivering high-quality work beyond the assigned scope,Staying in the office 24/7,Asking for a promotion every week,B
3rd Year,Internship to Full-Time Conversion,How often should an intern seek feedback for conversion potential?,"Never, wait for the end",Regularly through 1-on-1 meetings with their manager,Only when they make a mistake,Every hour,B
3rd Year,Internship to Full-Time Conversion,What is 'Cultural Fit'?,Sharing the same religion as the boss,"Alignment with the company's values, work style, and mission",Living in the same neighborhood,Liking the same sports team,B
3rd Year,Internship to Full-Time Conversion,How can an intern build a 'Professional Network' for conversion?,By ignoring colleagues,"By attending team lunches, meetings, and asking for informational interviews",By only talking to other interns,By sending spam emails,B
3rd Year,Internship to Full-Time Conversion,What is a 'PPO'?,Personal Placement Office,Pre-Placement Offer,Product Patent Organization,Private Project Outline,B
3rd Year,Internship to Full-Time Conversion,"If an intern finishes their work early, they should:",Go home,Ask for more work or offer to help teammates,Play games quietly,Sleep in the breakroom,B
3rd Year,Internship to Full-Time Conversion,Why is 'Reliability' important for conversion?,It shows the intern is a robot,It builds trust that the intern can handle the responsibilities of a full-time role,It is not important,It makes the intern look boring,B
3rd Year,Internship to Full-Time Conversion,An intern should document their achievements to:,Brag to friends,Prepare a strong case for their final conversion review,Hide their mistakes,Waste paper,B
3rd Year,Internship to Full-Time Conversion,What is 'Taking Initiative' in a workplace?,Waiting for orders,Identifying a problem and suggesting or implementing a solution without being asked,Taking credit for others' work,Asking for a higher salary,B
3rd Year,Internship to Full-Time Conversion,When should an intern discuss full-time opportunities?,The first day,During mid-point and final performance reviews,Never,Via an anonymous letter,B
3rd Year,Internship to Full-Time Conversion,What is 'Constructive Criticism'?,Mean comments from the boss,Feedback intended to help an individual improve their performance,Compliments only,A legal warning,B
3rd Year,Internship to Full-Time Conversion,Why is 'Ownership' of projects important?,It shows you own the company's hardware,It demonstrates accountability and commitment to the project's success,It means you don't have to share,It makes the project longer,B
3rd Year,Internship to Full-Time Conversion,How should an intern handle workplace conflict?,By shouting,By professionally addressing the issue with the parties involved or seeking guidance from a mentor,By quitting,By complaining on social media,B
3rd Year,Internship to Full-Time Conversion,A 'Mentor' is someone who:,Does your work for you,"Provides guidance, advice, and support for your career growth",Is your rival,Only pays your salary,B
3rd Year,Internship to Full-Time Conversion,What is 'Soft Skills' role in conversion?,They don't matter if you code well,"They are critical for teamwork, communication, and overall fit",They are for people who aren't technical,They are only for managers,B
3rd Year,Internship to Full-Time Conversion,Why is it important to understand the 'Business Impact' of your work?,To know how much money you make,To demonstrate that you add value to the company's bottom line,To calculate taxes,To impress your parents,B
3rd Year,Internship to Full-Time Conversion,An intern's 'Digital Footprint' should be:,Full of party photos,Professional and aligned with the industry standards,Completely empty,Hiddent from everyone,B
3rd Year,Internship to Full-Time Conversion,Punctuality and meeting deadlines consistently shows:,That you have a good watch,Professionalism and time management skills,That you have no life,That you are afraid of the boss,B
3rd Year,Internship to Full-Time Conversion,"If an intern is not offered conversion, they should:",Burn bridges,Request feedback for future growth and maintain the connection,Sue the company,Stop working immediately,B
