year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,Core vs Non-Core Career Paths & Specialization,What defines a 'Core' career path for an engineer?,A job in management,"A role directly related to the field of study (e.g., Civil Engineer in construction)",A job in a startup,A sales role,B
3rd Year,Core vs Non-Core Career Paths & Specialization,What is a 'Non-Core' career path?,A job that requires no skills,"A role outside the primary field of study (e.g., Mechanical Engineer in Data Science)",A government job,Unemployment,B
3rd Year,Core vs Non-Core Career Paths & Specialization,Which of these is typically a 'Core' company for a Computer Science student?,A construction firm,A software development company like Microsoft,A bank,A retail chain,B
3rd Year,Core vs Non-Core Career Paths & Specialization,Why might a student choose a 'Non-Core' path?,"Interest in a different field, better salary prospects, or more opportunities",They failed all their core subjects,Core jobs don't exist,To avoid working hard,A
3rd Year,Core vs Non-Core Career Paths & Specialization,What is 'Specialization' in a career?,Doing a little bit of everything,"Focusing on a specific niche within a field (e.g., AI within Computer Science)",Changing jobs every year,Working for a big company,B
3rd Year,Core vs Non-Core Career Paths & Specialization,Which of these is a 'Core' job for an Electrical Engineer?,Content Writing,Power Grid Design,Digital Marketing,HR Management,B
3rd Year,Core vs Non-Core Career Paths & Specialization,What is 'Cross-Disciplinary' work?,Working in a church,Combining knowledge from different fields to solve problems,Working against your boss,Ignoring other departments,B
3rd Year,Core vs Non-Core Career Paths & Specialization,"In the context of placements, 'Day 0' companies are usually:",Companies that hire anyone,"High-paying, prestigious firms (Core or Non-Core)",Startups with no funding,Companies that come at the end of the year,B
3rd Year,Core vs Non-Core Career Paths & Specialization,What is a 'Generalist'?,A person with specialized knowledge in one area,A person with a wide range of skills and knowledge in multiple areas,A high-ranking military officer,A doctor,B
3rd Year,Core vs Non-Core Career Paths & Specialization,What is 'T-Shaped Skills'?,Knowing only one thing,Deep expertise in one area (vertical) and broad ability in others (horizontal),A person who likes tea,A type of physical exercise,B
3rd Year,Core vs Non-Core Career Paths & Specialization,Which role is often 'Non-Core' for an Electronics student but very popular?,Embedded Systems Engineer,Investment Banker,Circuit Designer,Antenna Engineer,B
3rd Year,Core vs Non-Core Career Paths & Specialization,What is the primary advantage of specializing?,You can do any job,Higher demand for specific expertise and potentially higher pay,You don't need to learn anything else,More vacation time,B
3rd Year,Core vs Non-Core Career Paths & Specialization,What is 'Upskilling'?,Moving to a higher floor,Learning new skills to stay relevant in your field,Training others,Asking for a promotion,B
3rd Year,Core vs Non-Core Career Paths & Specialization,Which sector is considered 'Non-Core' for most engineering disciplines but hires heavily?,Information Technology (IT) Services,Public Works Department,Manufacturing,Research Labs,A
3rd Year,Core vs Non-Core Career Paths & Specialization,A 'Full-Stack Developer' is an example of:,A specialist in databases only,A person with skills in both front-end and back-end development,A person who stacks papers,A project manager,B
3rd Year,Core vs Non-Core Career Paths & Specialization,What does 'Industry 4.0' primarily involve?,Traditional farming,Automation and data exchange in manufacturing technologies,The 4th year of college,Ancient history,B
3rd Year,Core vs Non-Core Career Paths & Specialization,Which of these is a 'Core' role for a Civil Engineer?,Software Testing,Structural Design,Stock Trading,Social Media Management,B
3rd Year,Core vs Non-Core Career Paths & Specialization,What is a 'Career Pivot'?,Staying in the same job for 40 years,A strategic change in career direction,Winning a race,Getting fired,B
3rd Year,Core vs Non-Core Career Paths & Specialization,Which certification is 'Core' for a Networking professional?,Cisco CCNA,CFA,CA,IELTS,A
3rd Year,Core vs Non-Core Career Paths & Specialization,Choosing between Core and Non-Core should primarily be based on:,What friends are doing,"Individual interests, strengths, and long-term goals",The current weather,A coin toss,B
