year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,Resume Building Basics,What is the primary purpose of a resume?,To get a job offer immediately,To secure an interview,To list every single detail of your life,To prove you are better than others,B
1st Year,Resume Building Basics,Which resume format is most common for students?,Functional,Reverse-Chronological,Infographic,Video Resume,B
1st Year,Resume Building Basics,What does 'ATS' stand for in recruitment?,Applicant Tracking System,Advanced Technical Skills,Automated Timing Software,Application Target Site,A
1st Year,Resume Building Basics,"For a 1st-year student, which section should usually come first?",Work Experience,Education,Hobbies,References,B
1st Year,Resume Building Basics,What is the recommended length for a student resume?,1 page,3 pages,5 pages,Length doesn't matter,A
1st Year,Resume Building Basics,Which of these should NOT be included on a resume?,Email Address,LinkedIn Profile Link,Detailed personal political views,Technical Skills,C
1st Year,Resume Building Basics,What is an 'Action Verb' in a resume?,A word like 'did' or 'went',"Strong words like 'Developed', 'Led', or 'Created' to start bullet points",A technical software name,A synonym for a noun,B
1st Year,Resume Building Basics,"Why should you quantify your achievements? (e.g., 'Increased efficiency by 20%')",To make the resume longer,To provide concrete proof of your impact,To show you are good at math,To confuse the reader,B
1st Year,Resume Building Basics,What is the purpose of a 'Professional Summary' or 'Objective'?,To list your address,To briefly highlight your key skills and goals,To ask for a specific salary,To list your references,B
1st Year,Resume Building Basics,How should you list your GPA?,Always list it even if it's very low,List it if it's strong or required by the employer,Only list it on a separate page,In a very large bold font,B
1st Year,Resume Building Basics,Which file format is best for submitting a resume?,Word (.docx),PDF (.pdf),Excel (.xlsx),JPEG (.jpg),B
1st Year,Resume Building Basics,What is 'Tailoring' a resume?,Changing the font for every job,Modifying your resume to match the specific job description,Removing your name,Adding more hobbies,B
1st Year,Resume Building Basics,"When listing skills, what is a 'Hard Skill'?",Teamwork,Python Programming,Adaptability,Leadership,B
1st Year,Resume Building Basics,"When listing skills, what is a 'Soft Skill'?",Data Analysis,Communication,Java,Cloud Computing,B
1st Year,Resume Building Basics,Where should contact information be placed?,At the very bottom,At the very top/header,In a separate document,In the education section,B
1st Year,Resume Building Basics,Should you include 'References' directly on your resume?,"Yes, always","No, unless specifically requested (use 'Available upon request')",Only if they are famous,Only your parents,B
1st Year,Resume Building Basics,What is a 'Chronological Resume'?,A resume sorted by skill type,A resume that lists experience from most recent to oldest,A resume that lists only the dates,A resume with no dates,B
1st Year,Resume Building Basics,What is 'White Space' in resume design?,Unused space that improves readability,A mistake in the layout,Space where you forgot to type,A type of background color,A
1st Year,Resume Building Basics,What font size is standard for the body text of a resume?,6-8 pt,10-12 pt,18-20 pt,24-28 pt,B
1st Year,Resume Building Basics,What is the importance of 'Consistency' in a resume?,Using different fonts in every paragraph,Using the same formatting/spacing/style throughout,Listing the same job twice,Being consistently late,B
