year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,Resume Building and Career Positioning,What is the primary purpose of a professional resume?,To get a job offer immediately,To secure an interview,To list every life achievement,To showcase hobbies,B
2nd Year,Resume Building and Career Positioning,Which resume format focuses most on skills and is ideal for career changers?,Reverse-Chronological,Functional,Hybrid/Combination,Infographic,B
2nd Year,Resume Building and Career Positioning,What does 'ATS' stand for in the context of job applications?,Applicant Tracking System,Application Timing Software,Advanced Technical Skills,Automated Task System,A
2nd Year,Resume Building and Career Positioning,Which section should usually come first for a current student?,Work Experience,Education,Hobbies,References,B
2nd Year,Resume Building and Career Positioning,What is the recommended length for a student/entry-level resume?,1 page,3 pages,5 pages,Length doesn't matter,A
2nd Year,Resume Building and Career Positioning,What is an 'Action Verb' in a resume context?,A word describing a hobby,A word like 'Led' or 'Developed' to start a bullet point,A synonym for a noun,A technical software name,B
2nd Year,Resume Building and Career Positioning,Why should you tailor your resume for every job application?,To make it look longer,To match keywords in the job description,To change your contact info,To use different fonts,B
2nd Year,Resume Building and Career Positioning,Which of the following should NOT be included on a professional resume?,Email address,LinkedIn URL,Personal religious beliefs,Technical skills,C
2nd Year,Resume Building and Career Positioning,What is the 'STAR' method used for in bullet points?,"Situation, Task, Action, Result","Skills, Talent, Ability, Role","Search, Track, Apply, Review","Simple, Tough, Action, Ready",A
2nd Year,Resume Building and Career Positioning,"In a reverse-chronological resume, where is your most recent job placed?",At the bottom,In the middle,At the top,In a separate document,C
2nd Year,Resume Building and Career Positioning,What is a 'Professional Summary'?,A list of your references,A short paragraph highlighting key qualifications,A table of your grades,A list of your home addresses,B
2nd Year,Resume Building and Career Positioning,Which font size is generally standard for resume body text?,6-8 pt,10-12 pt,18-20 pt,24-28 pt,B
2nd Year,Resume Building and Career Positioning,What is 'Career Positioning'?,The physical location of an office,How you differentiate yourself in the job market,Your rank in a company,The act of sitting during an interview,B
2nd Year,Resume Building and Career Positioning,How should you list your GPA on a resume?,Always list it even if it's low,Only if it meets a certain threshold or is requested,"In bold, 20pt font",In the hobbies section,B
2nd Year,Resume Building and Career Positioning,What is the impact of white space on a resume?,It makes the resume look empty and unprofessional,It improves readability and visual appeal,It is a waste of paper,It confuses the ATS,B
2nd Year,Resume Building and Career Positioning,Which file format is most recommended for submitting a resume?,Word (.doc),PDF (.pdf),Text (.txt),JPEG (.jpg),B
2nd Year,Resume Building and Career Positioning,What does 'Quantifying Achievements' mean?,Listing as many skills as possible,"Using numbers/data to show impact (e.g., 'Increased sales by 20%')",Measuring the length of your resume,Counting the hours you worked,B
2nd Year,Resume Building and Career Positioning,A resume 'Objective' is best used when:,You are an experienced professional,You are a student seeking a specific internship or career change,You have no skills,You want to list your salary requirements,B
2nd Year,Resume Building and Career Positioning,Which of these is a 'Soft Skill'?,Python Programming,Graphic Design,Leadership,Data Analysis,C
2nd Year,Resume Building and Career Positioning,"When listing projects, what is most important to include?",The color of the project poster,Your role and the tools/technologies used,The names of every classmate,The exact date and time it was finished,B
