year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is an 'Individual Contributor' (IC)?,A person who works entirely alone,A professional who is not a manager but performs specialized tasks,A person who contributes money to the company,An entry-level intern,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is the primary role of a 'Manager'?,To do all the technical work,"To coordinate, lead, and support a team to achieve goals",To fire people,To sit in a large office only,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What does 'C-Suite' refer to?,The company's sleeping area,"Top-level executives like the CEO, CTO, and CFO",The customer support department,The clerical staff,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is the 'CEO' responsible for?,The entire organization's strategy and success,The company's computer network only,Hiring every new employee,Designing the company's logo,A
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What does a 'CTO' do?,Chief Training Officer,Chief Technology Officer (leads the company's technical vision),Chief Task Organizer,Chief Travel Operator,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is a 'Project Manager' responsible for?,Writing all the code for a project,"Ensuring a project is completed on time, within scope, and on budget",The physical safety of the building,Buying the office supplies,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is 'Career Pathing'?,The road you take to the office,The process of planning your professional progression and goals,Building a new road,Changing your name,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is a 'LDP' (Leadership Development Program)?,A program to learn computer languages,A structured program designed to develop future leaders in a company,A type of local delivery,A long distance phone call,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is a 'Startup'?,A company that has been around for 50 years,A young company founded to develop a unique product or service,A government office,A school project,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is an 'MNC'?,Multinational Corporation,Many New Companies,Main Network Center,Management and News Center,A
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is the role of 'Human Resources' (HR)?,Fixing the company's hardware,"Managing employee recruitment, benefits, and workplace culture",Doing the company's accounting,Designing products,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is 'Technical Lead'?,The person who carries the equipment,A senior developer who provides technical guidance to a team,The most junior member of the team,A salesperson who knows tech,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is a 'Dual Career Ladder'?,A literal ladder with two sides,A career system that allows for growth in both management and technical tracks,Working two jobs at once,A type of promotion only for twins,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is 'Upskilling'?,Moving to a higher floor in the office,Learning new skills to stay relevant and advance in your career,Teaching others how to work,Asking for a higher salary,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is 'Internal Mobility'?,Moving the office furniture,Moving to a different role or department within the same company,Working from home,Commuting to work,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",A 'Full-Stack Developer' works on:,Only the user interface,Both the front-end (client side) and back-end (server side),Only the database,Only the marketing materials,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is the role of 'Quality Assurance' (QA)?,Selling the product,Ensuring products meet quality standards through testing and inspection,Building the physical product,Cleaning the office,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is 'Freelancing'?,Working for free,Self-employed professionals working on various projects for different clients,A full-time job with a fixed salary,Working for the government,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",What is 'Product Management'?,Managing the physical production line,"The business process of planning, developing, and launching a product",Fixing broken products,Counting the inventory,B
1st Year,"Roles, Responsibilities & Career Pathways in Industry",A 'DevOps Engineer' primarily focuses on:,Designing the UI,Bridging the gap between software development and IT operations,Sales and marketing,Human resources,B
