year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,Workplace Communication & Etiquette,What is 'Active Listening'?,Hearing the noise only,Fully concentrating and responding to what is being said,Waiting for your turn to speak without listening,Interrupting with better ideas,B
2nd Year,Workplace Communication & Etiquette,What is the 'Reply All' rule in email etiquette?,Always use it for every email,Use it only when everyone on the thread needs to know the information,Never use it,Use it to complain about someone,B
2nd Year,Workplace Communication & Etiquette,When is it appropriate to use slang or emojis in work emails?,Always,"Never, except perhaps in very casual internal chats if appropriate",When emailing the CEO,When you are angry,B
2nd Year,Workplace Communication & Etiquette,What is 'Netiquette'?,The cost of the internet,Etiquette specifically for online communication,A type of software,The speed of the network,B
2nd Year,Workplace Communication & Etiquette,How should you introduce yourself in a professional setting?,Give your name and a brief context of your role,Just say 'Hi',Wait for others to guess who you are,Tell your life story,A
2nd Year,Workplace Communication & Etiquette,What is 'Cubicle Etiquette'?,Decorating your desk with lights,Being mindful of noise and respecting others' personal space,Eating smelly food at your desk every day,Listening to music without headphones,B
2nd Year,Workplace Communication & Etiquette,What does 'CC' stand for in an email?,Carbon Copy,Central Communication,Correct Context,Company Code,A
2nd Year,Workplace Communication & Etiquette,What is the purpose of 'BCC' in an email?,To copy everyone,To hide the email addresses of recipients from each other,To send a copy to the boss only,To check for viruses,B
2nd Year,Workplace Communication & Etiquette,"In a meeting, what should you do with your phone?",Keep it on the table and check notifications,Keep it on silent and out of sight,Answer personal calls,Play games,B
2nd Year,Workplace Communication & Etiquette,What is 'Non-verbal Communication'?,Sending emails,"Body language, facial expressions, and tone of voice",Writing letters,Using sign language only,B
2nd Year,Workplace Communication & Etiquette,How should you handle a conflict with a coworker?,Gossip about them,Speak to them privately and professionally to resolve the issue,Ignore them forever,Complain on social media,B
2nd Year,Workplace Communication & Etiquette,What is a 'Handshake' typically used for in business?,A sign of competition,A professional greeting and sign of agreement,A way to measure strength,It is no longer used,B
2nd Year,Workplace Communication & Etiquette,Why is 'Punctuality' critical in workplace communication?,To show you have a fast watch,It respects others' schedules and shows reliability,To get the best seat in the room,To leave work early,B
2nd Year,Workplace Communication & Etiquette,What is the best way to give negative feedback to a subordinate?,Shout at them in public,"Provide it privately, constructively, and focus on the behavior/result",Send an anonymous note,Wait for the annual review,B
2nd Year,Workplace Communication & Etiquette,What is 'Professional Grooming'?,Washing your car,Maintaining a clean and neat appearance suitable for the office,Going to the gym,Buying expensive jewelry,B
2nd Year,Workplace Communication & Etiquette,What is 'Intercultural Communication'?,Speaking only your native language,The ability to communicate across different cultures effectively,Studying geography,Travel photography,B
2nd Year,Workplace Communication & Etiquette,"When leaving a voicemail, what is most important to include?",Your favorite song,"Your name, number, and a clear, brief message",A joke,"Nothing, they have your caller ID",B
2nd Year,Workplace Communication & Etiquette,What is 'constructive dissent'?,Arguing for no reason,Respectfully disagreeing with an idea to find a better solution,Saying 'yes' to everything,Quitting because you disagree,B
2nd Year,Workplace Communication & Etiquette,Which is a hallmark of a professional email signature?,A quote from a movie,"Your name, title, and contact information",A blinking GIF,A list of your hobbies,B
2nd Year,Workplace Communication & Etiquette,What does 'Empathy' in communication mean?,Feeling sorry for someone,Understanding and sharing the feelings of another,Agreeing with everyone,Being quiet,B
