year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,LinkedIn Profile Basics,What is the primary purpose of LinkedIn?,Sharing personal vacation photos,Professional networking and career development,Watching movies,Online shopping,B
1st Year,LinkedIn Profile Basics,What is a LinkedIn 'Headline'?,A summary of your life story,A brief phrase that describes your professional role and value,Your home address,Your date of birth,B
1st Year,LinkedIn Profile Basics,What kind of photo is best for a LinkedIn profile?,A group photo from a party,"A professional, clear headshot",A photo of your pet,A scenic landscape,B
1st Year,LinkedIn Profile Basics,What is the 'About' or 'Summary' section for?,Listing your contact information only,Briefly introducing yourself and your professional goals,Listing every grade from school,Asking for money,B
1st Year,LinkedIn Profile Basics,What does '1st-degree connection' mean on LinkedIn?,Someone you share a group with,People you are directly connected to,Friends of your friends,People you have blocked,B
1st Year,LinkedIn Profile Basics,How can students showcase their skills on LinkedIn?,By liking their own posts,Through 'Endorsements' and 'Recommendations',By listing 100 skills randomly,By changing their profile picture daily,B
1st Year,LinkedIn Profile Basics,What is the purpose of the 'Featured' section?,To list your favorite movies,"To showcase specific work samples, projects, or certifications",To hide your experience,To show who visited your profile,B
1st Year,LinkedIn Profile Basics,Which of these is a 'Hard Skill' you might list on LinkedIn?,Adaptability,Java Programming,Teamwork,Patience,B
1st Year,LinkedIn Profile Basics,What is the best way to ask for a connection with a professional you don't know?,Send a blank request,Send a personalized note explaining why you want to connect,Ask for a job in the first message,Tag them in a random post,B
1st Year,LinkedIn Profile Basics,How often should you ideally update your LinkedIn profile?,Once every five years,"Regularly, whenever you achieve a new milestone or skill",Never,Every single day,B
1st Year,LinkedIn Profile Basics,What is an 'InMail' on LinkedIn?,A regular email sent to Gmail,A private message to someone you aren't connected with,A post on your timeline,A type of advertisement,B
1st Year,LinkedIn Profile Basics,What does the 'Open to Work' feature do?,Notifies recruiters that you are seeking opportunities,Automatically applies to jobs for you,Makes your profile invisible,Gives you a higher salary,A
1st Year,LinkedIn Profile Basics,Why is it important to join LinkedIn Groups?,To get free coupons,To network with professionals in your industry of interest,To chat with high school friends,To play games,B
1st Year,LinkedIn Profile Basics,What is a 'Cold Message' on LinkedIn?,A message sent during winter,An unsolicited message to someone you don't know to build a connection,An angry message,An automated spam email,B
1st Year,LinkedIn Profile Basics,What should you do after attending a professional webinar?,Nothing,Connect with the speaker on LinkedIn with a brief thank-you note,Wait for them to find you,Comment 'Nice' on their oldest post,B
1st Year,LinkedIn Profile Basics,What is a 'Personalized URL' on LinkedIn?,linkedin.com/in/yourname,linkedin.com/user123456789,google.com/yourname,linkedin.com/profile/edit,A
1st Year,LinkedIn Profile Basics,What is the maximum number of skills you can add to your LinkedIn profile?,5,50,100,Unlimited,B
1st Year,LinkedIn Profile Basics,What is the purpose of 'Endorsements'?,To buy products,For connections to validate that you have a specific skill,To write a long review,To rank your friends,B
1st Year,LinkedIn Profile Basics,How can you show you are a student on your LinkedIn profile?,By stating it in your headline and education section,By having no experience,By not using LinkedIn at all,By having a childish profile picture,A
1st Year,LinkedIn Profile Basics,What is 'LinkedIn Learning'?,A social media game,An online educational platform for professional skills,A type of textbook,A newsletter,B
