year,module,question,option_a,option_b,option_c,option_d,correct_answer
2nd Year,Presentation & Public Skills,What is the '10-20-30 Rule' for presentations?,"10 slides, 20 minutes, 30-point font","10 people, 20 slides, 30 minutes","10 topics, 20 ideas, 30 slides","10 minutes, 20 slides, 30-point font",A
2nd Year,Presentation & Public Skills,What is the most effective way to start a presentation?,Apologizing for being nervous,"A hook, such as a story, statistic, or question",Reading the title slide word-for-word,Checking the microphone for 2 minutes,B
2nd Year,Presentation & Public Skills,What does 'Glossophobia' mean?,Fear of heights,Fear of spiders,Fear of public speaking,Fear of colors,C
2nd Year,Presentation & Public Skills,Why should you limit text on your slides?,To save printer ink,"To keep the audience's focus on the speaker, not the screen",Because people can't read,To make the presentation finish faster,B
2nd Year,Presentation & Public Skills,What is 'Extemporaneous' speaking?,Reading from a full script,Memorizing every word,Speaking from an outline or notes with spontaneity,Speaking with no preparation at all,C
2nd Year,Presentation & Public Skills,How can you reduce filler words like 'um' and 'uh'?,By speaking faster,By pausing briefly to think,By drinking more water,By coughing instead,B
2nd Year,Presentation & Public Skills,What is the 'Rule of Three' in public speaking?,Speak for only 3 minutes,People remember things better when grouped in threes,Use only 3 slides,Have only 3 people in the audience,B
2nd Year,Presentation & Public Skills,"In body language, what does an 'Open Posture' suggest?",Aggression,Defensiveness,Confidence and approachability,Boredom,C
2nd Year,Presentation & Public Skills,What should you do if you make a small mistake during a speech?,Stop and start over,Correct yourself quickly and keep going without dwelling,Apologize for five minutes,Cry,B
2nd Year,Presentation & Public Skills,What is 'Vocal Variety'?,Singing your presentation,"Changing pitch, volume, and pace to keep the audience engaged",Using a microphone,Speaking in a monotone voice,B
2nd Year,Presentation & Public Skills,How do you handle a difficult question in a Q&A session?,Say 'I don't want to answer that',"Listen carefully, repeat the question, and answer honestly or offer to follow up",Ignore the person,Argue with the questioner,B
2nd Year,Presentation & Public Skills,What is the purpose of a 'Call to Action' (CTA)?,To tell the audience to go home,To tell the audience what step to take next,To list your references,To introduce yourself again,B
2nd Year,Presentation & Public Skills,Where should you look while speaking to a large audience?,At the floor,At the ceiling,Scan the room and make brief eye contact with different people,At the back wall,C
2nd Year,Presentation & Public Skills,Visual aids should be used to:,Distract the audience,Replace the speaker,Support and clarify the speaker's points,Fill time,C
2nd Year,Presentation & Public Skills,What is the best way to manage 'stage fright'?,Avoiding eye contact,Deep breathing and thorough preparation,Drinking 10 cups of coffee,Reading your speech from a paper to hide shaking hands,B
2nd Year,Presentation & Public Skills,Why is 'Audience Analysis' important?,To know how much to charge them,"To tailor your language, content, and tone to their needs",To find out their names,To see if they are better than you,B
2nd Year,Presentation & Public Skills,A 'PechaKucha' presentation style involves:,20 slides shown for 20 seconds each,100 slides with no text,One slide for 1 hour,Singing the data,A
2nd Year,Presentation & Public Skills,What is the ideal font size for a slide header?,12 pt,18 pt,36-44 pt,72 pt,C
2nd Year,Presentation & Public Skills,"When using a laser pointer, you should:",Circle everything on the slide constantly,Point steadily at a specific item then turn it off,Point it at the audience,Keep it on for the whole presentation,B
2nd Year,Presentation & Public Skills,What is the main goal of a 'Persuasive Speech'?,To inform,To entertain,To convince the audience to adopt a view or take action,To list facts,C
