year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is the 'STAR' method used for?,Answering behavioral interview questions,Calculating company revenue,Designing a logo,Finding stars in the sky,A
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is a 'Stress Interview'?,An interview held in a gym,An interview designed to test a candidate's reaction to pressure,A very relaxed interview,An interview with no questions,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is a 'Case Interview'?,An interview about a legal case,An interview where the candidate must solve a business problem,An interview where you bring a suitcase,A personality test,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,How should you research an interviewer beforehand?,By looking at their home address,By checking their professional profile on LinkedIn to understand their background,By asking their neighbors,By calling them every day,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is 'Mirroring' in an interview?,Looking in a mirror,Subtly matching the interviewer's body language to build rapport,Repeating every word they say,Wearing the same clothes,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,A 'Brainteaser' question in an interview is meant to test:,Your memory,Your logical thinking and problem-solving process,Your knowledge of trivia,Your math skills only,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,How should you answer 'What is your greatest weakness?',Say 'I'm a perfectionist',Mention a real professional weakness and how you are working to overcome it,Say 'I don't have any',Talk about a personal secret,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is a 'Group Interview'?,Multiple candidates interviewed together,One candidate and multiple interviewers,Interviewing your group of friends,A party,A
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is 'Vocal Variety'?,Singing your answers,"Changing the tone, pitch, and speed of your voice to be more engaging",Talking very loud,Talking in a monotone,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,Why should you ask questions at the end of an interview?,To show you are better than the interviewer,To demonstrate interest and that you have done your research,To fill time,To get the interviewer to like you,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is a 'Mock Interview'?,A practice interview to improve performance,An interview where you mock the company,A final round interview,A written test,A
3rd Year,Advanced Interview Essentials & Preparation Strategy,"In a technical interview, 'Thinking Aloud' is important because:",It makes the room less quiet,It allows the interviewer to understand your problem-solving process,It shows you can talk fast,It distracts from the errors,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is 'Active Listening'?,Waiting for your turn to speak,Fully concentrating and responding thoughtfully to what is being said,Listening to music while interviewing,Hearing only the keywords,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is the purpose of a 'Thank You' note after an interview?,To ask for the job directly,To express gratitude and reiterate your fit for the role,To send a gift to the interviewer,To ask about the salary again,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is 'Culture Add' vs 'Culture Fit'?,Adding more money to the company,Bringing unique perspectives and skills vs just blending in,Finding a new job,A type of software,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,A 'Panel Interview' involves:,Multiple candidates and one interviewer,Multiple interviewers and one candidate,One interviewer and a TV panel,A written exam,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is the 'Elevator Pitch' for an interview?,Talking about elevators,A 30-60 second introduction of your professional value,A long story about your childhood,A list of your grades,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,How should you dress for a 'Business Casual' interview?,T-shirt and jeans,Slacks/khakis and a collared shirt or blouse,A full tuxedo,Beachwear,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,What is 'Emotional Intelligence' (EQ) in an interview?,Being very emotional,The ability to manage your emotions and understand those of others,Knowing how to cry on demand,A high IQ score,B
3rd Year,Advanced Interview Essentials & Preparation Strategy,The 'Tell me about yourself' question should focus on:,Your entire life story from birth,"A summary of your relevant skills, experience, and career goals",Your family background,Your favorite movies,B
