year,module,question,option_a,option_b,option_c,option_d,correct_answer
3rd Year,Career Paths Beyond Campus Placements,What is the primary focus of a 'Fellowship' program compared to a standard job?,High salary only,"Social impact, research, or leadership development",Temporary office work,Data entry,B
3rd Year,Career Paths Beyond Campus Placements,Which exam is primarily required for pursuing an MBA in top Indian institutes?,GRE,GMAT,CAT,GATE,C
3rd Year,Career Paths Beyond Campus Placements,What does 'Entrepreneurship' primarily involve?,Working for a multinational company,Creating and managing a new business venture,Solely investing in stocks,Clerical work,B
3rd Year,Career Paths Beyond Campus Placements,Which path is most suitable for students interested in core engineering research and teaching?,Direct Corporate Placement,Higher Studies (M.Tech/MS/PhD),Freelancing,Retail Management,B
3rd Year,Career Paths Beyond Campus Placements,"In the context of 'Freelancing', what is a 'Gig Economy'?",A permanent government job,A labor market characterized by short-term contracts or freelance work,A market for musical performances only,Agricultural economy,B
3rd Year,Career Paths Beyond Campus Placements,What is the main requirement for the GATE examination?,Business management skills,Technical proficiency in undergraduate engineering subjects,Fluency in multiple foreign languages,Graphic design skills,B
3rd Year,Career Paths Beyond Campus Placements,Which of the following is a key advantage of 'Digital Nomadism'?,Fixed office hours,Geographical flexibility and remote work,Guaranteed pension,No need for internet,B
3rd Year,Career Paths Beyond Campus Placements,What is 'Off-Campus Placement'?,Jobs provided through university placement cells,Applying for jobs directly through company portals or referrals,Working from home for a college,A job in a different city,B
3rd Year,Career Paths Beyond Campus Placements,Which organization primarily recruits through the Engineering Services Examination (ESE) in India?,Google,Indian Railways and Power sectors,Small Startups,Local NGOs,B
3rd Year,Career Paths Beyond Campus Placements,What does a 'Management Trainee' role usually prepare you for?,Executive leadership positions,Specialized coding only,Janitorial services,Security management,A
3rd Year,Career Paths Beyond Campus Placements,What is the primary purpose of taking a 'Gap Year' after graduation?,To avoid work forever,"For skill acquisition, travel, or personal development",To hide unemployment from parents,To play video games,B
3rd Year,Career Paths Beyond Campus Placements,Which sector is 'Venture Capital' most closely associated with?,Public sector banking,Startup funding and growth,Agriculture,Traditional textiles,B
3rd Year,Career Paths Beyond Campus Placements,What is 'Corporate Social Responsibility' (CSR)?,Profit maximization at all costs,A company's initiatives to assess and take responsibility for its effects on environmental and social wellbeing,Tax evasion strategy,Internal office parties,B
3rd Year,Career Paths Beyond Campus Placements,"If you want to work for the United Nations, which path is most common?",Young Professionals Programme (YPP),Campus placement in a tech college,Joining a local bank,Freelance coding,A
3rd Year,Career Paths Beyond Campus Placements,What is a 'Bootcamp' in the context of career shifts?,A military training camp,"A short-term, intensive training program for specific technical skills",A holiday retreat,A university sports day,B
3rd Year,Career Paths Beyond Campus Placements,Which document is essential for applying to foreign universities for MS?,Driving License,Statement of Purpose (SOP),Voter ID,Ration Card,B
3rd Year,Career Paths Beyond Campus Placements,What is 'Incubation' in the startup ecosystem?,Finding a job in a big firm,Support provided to early-stage startups like office space and mentoring,Terminating a business,Selling company shares,B
3rd Year,Career Paths Beyond Campus Placements,Which of these is a popular platform for finding freelance work?,Upwork,Netflix,Hotstar,Tinder,A
3rd Year,Career Paths Beyond Campus Placements,What is the primary focus of 'Public Policy' careers?,Writing code for websites,Formulating and analyzing government decisions and laws,Selling insurance,Designing fashion,B
3rd Year,Career Paths Beyond Campus Placements,Which exam is standard for English proficiency for studying in the USA?,UPSC,TOEFL,JEE,NEET,B
