year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,What is Problem-Solving?,What is the first step in the problem-solving process?,Finding a solution,Defining the problem,Asking for help,Implementing a fix,B
1st Year,What is Problem-Solving?,What does 'Root Cause Analysis' mean?,Analyzing plant growth,Identifying the fundamental cause of a problem,Checking the code's root folder,Asking a manager for the answer,B
1st Year,What is Problem-Solving?,What is 'Algorithmic Thinking'?,Thinking about 1s and 0s,A step-by-step approach to solving a problem,Randomly guessing,Using a calculator,B
1st Year,What is Problem-Solving?,What is a 'Heuristic' in problem-solving?,A mental shortcut or 'rule of thumb',A complex mathematical proof,A type of computer virus,A formal meeting,A
1st Year,What is Problem-Solving?,What is 'Critical Thinking'?,Complaining about everything,Objectively analyzing and evaluating an issue to form a judgment,Thinking very fast,Following instructions without questioning,B
1st Year,What is Problem-Solving?,"In problem-solving, 'Divergent Thinking' refers to:",Focusing on one single answer,Generating many unique possible solutions,Distracting others from the problem,Ignoring the problem,B
1st Year,What is Problem-Solving?,"In problem-solving, 'Convergent Thinking' refers to:",Expanding on ideas,Finding the single best solution from multiple possibilities,Working in a group,Daydreaming,B
1st Year,What is Problem-Solving?,What is the purpose of 'Brainstorming'?,To test a solution,To generate a large number of ideas for a solution,To rank team members,To write the final report,B
1st Year,What is Problem-Solving?,A 'Trial and Error' method is best when:,You have no information and the cost of failure is low,Solving a life-critical medical issue,Building a bridge,Managing a large budget,A
1st Year,What is Problem-Solving?,What does 'Lateral Thinking' involve?,Following standard procedures,Approaching a problem from a creative or unexpected angle,Thinking about math only,Ignoring the rules of logic,B
1st Year,What is Problem-Solving?,What is an 'Abstraction' in problem-solving?,Adding more detail,Focusing on essential features while hiding unnecessary complexity,A type of modern art,A mistake in logic,B
1st Year,What is Problem-Solving?,What is 'Decomposition' in problem-solving?,The rotting of ideas,"Breaking a complex problem into smaller, more manageable parts",Solving a problem immediately,Deleting the problem,B
1st Year,What is Problem-Solving?,What is a 'Constraint'?,A tool to help solve problems,A limitation or restriction on the solution,A type of variable,A fast way to work,B
1st Year,What is Problem-Solving?,What is 'Logical Reasoning'?,Using emotions to solve a problem,"The process of using a rational, systematic series of steps based on facts",Guessing based on a feeling,Copying someone else's work,B
1st Year,What is Problem-Solving?,What is 'Mind Mapping'?,Drawing a map of the city,A visual diagram used to organize information and ideas,A brain surgery technique,Reading someone's mind,B
1st Year,What is Problem-Solving?,What is 'Implementation'?,Thinking of an idea,Putting the chosen solution into action,Testing if the idea works,Asking for feedback,B
1st Year,What is Problem-Solving?,Why is 'Evaluation' important after solving a problem?,To see if the solution worked and what can be learned,To celebrate with the team only,To find someone to blame for mistakes,To close the file forever,A
1st Year,What is Problem-Solving?,Which technique involves asking 'Why?' five times to find a root cause?,The 5-Step Method,The 5 Whys,The Quintuple Check,The Why-Tree,B
1st Year,What is Problem-Solving?,What is 'Analysis Paralysis'?,A physical injury,Overthinking a problem so much that a decision is never made,Being unable to solve any problem,Liking analysis too much,B
1st Year,What is Problem-Solving?,"In a professional setting, problem-solving is often a:",Solo activity,Team effort,Competition between colleagues,Task for management only,B
