year,module,question,option_a,option_b,option_c,option_d,correct_answer
1st Year,Soft Skills: Communication & Teamwork,What is 'Active Listening'?,Hearing the background noise,Fully concentrating and responding to what is being said,Waiting for your turn to speak without listening,Interrupting with better ideas,B
1st Year,Soft Skills: Communication & Teamwork,Which of these is 'Non-Verbal Communication'?,Sending an email,Body language and facial expressions,Speaking on a podcast,Writing a letter,B
1st Year,Soft Skills: Communication & Teamwork,"In a team, 'Synergy' means:",Working alone,The interaction of elements that when combined produce a total effect greater than the sum of the individual elements,Competing for the best seat,Arguments between members,B
1st Year,Soft Skills: Communication & Teamwork,What is 'Empathy'?,Feeling sorry for someone,Understanding and sharing the feelings of another,Agreeing with everyone's opinion,Being quiet in meetings,B
1st Year,Soft Skills: Communication & Teamwork,What is the most professional way to handle a conflict in a team?,Ignoring the person,Speaking privately and respectfully to resolve the issue,Complaining to the manager immediately,Shouting to prove your point,B
1st Year,Soft Skills: Communication & Teamwork,What does 'Constructive Feedback' mean?,Insulting someone's work,"Providing specific, actionable suggestions for improvement",Only giving compliments,Ignoring mistakes,B
1st Year,Soft Skills: Communication & Teamwork,What is 'Collaboration'?,One person doing all the work,Working together with others to achieve a common goal,Copying someone else's idea,A meeting where no one talks,B
1st Year,Soft Skills: Communication & Teamwork,Which is a hallmark of an effective team leader?,Doing all the tasks themselves,Empowering team members and facilitating communication,Being the loudest in the room,Taking all the credit,B
1st Year,Soft Skills: Communication & Teamwork,What is 'Verbal Communication'?,Body language,The use of sounds and words to express oneself,Drawing pictures,Using sign language,B
1st Year,Soft Skills: Communication & Teamwork,How should you start a formal professional email?,Hey!,"Dear Mr./Ms. [Name],",What's up?,"To whoever is there,",B
1st Year,Soft Skills: Communication & Teamwork,What is 'Emotional Intelligence' (EQ)?,Being very emotional,The ability to recognize and manage your emotions and those of others,A high IQ score,Being able to cry on command,B
1st Year,Soft Skills: Communication & Teamwork,Why is 'Punctuality' important in a team?,It shows you have a nice watch,It shows respect for others' time and commitment to the task,It means you can leave early,It is not important in creative teams,B
1st Year,Soft Skills: Communication & Teamwork,What is a 'Consensus' in a team meeting?,A total disagreement,General agreement reached by the group,A vote where only the leader decides,A long silence,B
1st Year,Soft Skills: Communication & Teamwork,"When presenting to a group, 'Eye Contact' helps to:",Distract the audience,Build trust and engagement,Check if people are sleeping,Show that you are superior,B
1st Year,Soft Skills: Communication & Teamwork,What is 'Adaptability' in a workplace?,Refusing to change your habits,The ability to adjust to new conditions and challenges,Changing your name,Moving to a new desk every day,B
1st Year,Soft Skills: Communication & Teamwork,A 'Brainstorming' session is successful when:,Only the leader speaks,Many ideas are generated without immediate criticism,The meeting ends in 5 minutes,A fight occurs,B
1st Year,Soft Skills: Communication & Teamwork,What is 'Assertiveness'?,Being aggressive and rude,Expressing your views clearly and respectfully without being aggressive,Staying silent even when you disagree,Doing whatever others say,B
1st Year,Soft Skills: Communication & Teamwork,Why is 'Clarity' important in communication?,To use more big words,To ensure the receiver understands the message exactly as intended,To make the email longer,To look smart,B
1st Year,Soft Skills: Communication & Teamwork,"In a team, 'Accountability' means:",Counting the money,Taking responsibility for your own actions and tasks,Blaming the equipment,Working only when watched,B
1st Year,Soft Skills: Communication & Teamwork,What is a 'Soft Skill'?,Knowing how to code,Interpersonal and behavioral skills,Typing on a soft keyboard,Using a mouse gently,B
