topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
Vocabulary & Word Usage,Which word is a synonym for 'Happy'?,Sad,Angry,Joyful,Tired,C,Easy
Vocabulary & Word Usage,What is the opposite of 'Strong'?,Weak,Tough,Hard,Bold,A,Easy
Vocabulary & Word Usage,Choose the correct spelling:,Recieve,Receive,Recive,Receve,B,Easy
Grammar & Sentence Structure,She ____ to school every day.,go,goes,going,gone,B,Easy
Grammar & Sentence Structure,I have ____ apple in my bag.,a,an,the,some,B,Easy
Grammar & Sentence Structure,They ____ playing football now.,is,am,are,be,C,Easy
Pronunciation & Phonetics,Which word rhymes with 'Cat'?,Bat,Car,Day,Cut,A,Easy
Pronunciation & Phonetics,How many syllables are in the word 'Apple'?,1,2,3,4,B,Easy
Pronunciation & Phonetics,Which word starts with a vowel sound?,Dog,Tree,Elephant,Ball,C,Easy
Reading Comprehension,"If 'The cat sat on the mat', where was the cat?",In the tree,On the mat,Under the table,Outside,B,Easy
Reading Comprehension,"In the sentence 'John is tall', who is tall?",Mary,The tree,John,Nobody,C,Easy
Reading Comprehension,What is the main idea of a story about a lost dog finding its way home?,Dogs are scary,A journey home,Cats are better,Buying a new house,B,Easy
Professional Communication Skills,How should you start a formal email to someone you don't know?,Hey!,"Dear Sir/Madam,",What's up?,"Yo,",B,Easy
Professional Communication Skills,What is a polite way to ask for help?,Do it for me.,Help me now.,Could you please help me?,I need help.,C,Easy
Professional Communication Skills,Which is a professional closing for a letter?,Bye bye,"Sincerely,",See ya,Later,B,Easy
Writing & Error Detection,Find the error: 'He don't like pizza.',He,don't,like,pizza,B,Easy
Writing & Error Detection,Find the error: 'I seen him yesterday.',I,seen,him,yesterday,B,Easy
Writing & Error Detection,Identify the punctuation error: 'Where are you going.',Where,are,you,The period,D,Easy
Writing & Error Detection,Which sentence is correct?,I am teacher.,I am a teacher.,I teacher.,Am I teacher.,B,Easy
Grammar & Sentence Structure,Choose the past tense of 'Eat'.,Eated,Eating,Ate,Eats,C,Easy
