year,module,question,option_a,option_b,option_c,option_d,correct_answer
4th Year,Research & Innovation in Engineering,What is the primary goal of academic research in engineering?,To make a profit immediately,To contribute new knowledge or solve complex problems,To write a long book,To copy existing technology,B
4th Year,Research & Innovation in Engineering,What does 'Peer Review' involve?,Evaluation of work by experts in the same field,Review by friends,A review by the general public,A spell-check,A
4th Year,Research & Innovation in Engineering,What is an 'Abstract' in a research paper?,A type of modern art,A brief summary of the entire paper,A list of references,The final conclusion,B
4th Year,Research & Innovation in Engineering,What is 'Intellectual Property' (IP)?,A house owned by a researcher,Legal rights resulting from intellectual activity,A list of books,A company's bank account,B
4th Year,Research & Innovation in Engineering,What is the purpose of a 'Literature Review'?,To read novels,To identify existing research and gaps in a field,To check for grammar errors,To write a bibliography only,B
4th Year,Research & Innovation in Engineering,What is 'Quantitative Research'?,Research based on numerical data,Research based on feelings,A short study,Research with no data,A
4th Year,Research & Innovation in Engineering,What is a 'Patent'?,A type of medicine,A government license giving the right to exclude others from making/using an invention,A certificate of attendance,A student ID,B
4th Year,Research & Innovation in Engineering,What is 'Ethical Conduct' in research?,Getting the best results possible by any means,"Adhering to moral principles and professional standards (e.g., avoiding plagiarism)",Following the laws of physics,Hiring many people,B
4th Year,Research & Innovation in Engineering,What is 'Incremental Innovation'?,Changing everything at once,"Small, continuous improvements to existing products/processes",A sudden massive discovery,Building a robot,B
4th Year,Research & Innovation in Engineering,What is 'Radical Innovation'?,A minor update,A breakthrough that creates a new industry or replaces existing ones,Fixing a bug,Painting a machine,B
4th Year,Research & Innovation in Engineering,What is 'R&D'?,Read and Design,Research and Development,Review and Deploy,Retail and Delivery,B
4th Year,Research & Innovation in Engineering,What is a 'Case Study'?,A bag for books,"An in-depth analysis of a specific individual, group, or event",A quick survey,A lab experiment with chemicals,B
4th Year,Research & Innovation in Engineering,What is 'Plagiarism'?,Using someone else's work without proper credit,A new type of fuel,A research method,Writing a poem,A
4th Year,Research & Innovation in Engineering,What is 'Qualitative Research'?,Research using numbers,Research focused on understanding human behavior and experiences through non-numerical data,Research that is very fast,Research with no quality,B
4th Year,Research & Innovation in Engineering,What is 'Applied Research'?,Research with no goal,Research designed to solve practical problems of the modern world,Theoretical research only,Searching for historical dates,B
4th Year,Research & Innovation in Engineering,What is a 'Hypothesis'?,A proven fact,A proposed explanation made on the basis of limited evidence,A final conclusion,A type of math formula,B
4th Year,Research & Innovation in Engineering,What is 'Citation'?,A ticket for speeding,Referencing the source of information or ideas,A type of research,Winning a prize,B
4th Year,Research & Innovation in Engineering,What is 'Disruptive Innovation'?,A loud experiment,Innovation that makes current products/services obsolete,A mistake in research,A protest,B
4th Year,Research & Innovation in Engineering,What is 'Open Access'?,A door that is open,Unrestricted online access to peer-reviewed scholarly research,A free library,A password-free computer,B
4th Year,Research & Innovation in Engineering,What is 'Technology Transfer'?,Moving a computer,The process of transferring skills and knowledge from research to the public/commercial sector,Buying a new phone,Deleting old files,B
